Time (sec),Channel A,Channel B
0,0,0
0.00001,0,0
0.00002,0,0
0.00003,0,0
0.00004,0,0
0.00005,0,0
0.00006,0,0
0.00007,0,0
0.00008,0,0
0.00009,0,0
0.0001,0,0
0.00011,0,0
0.00012,0,0
0.00013,0,0
0.00014,0,0
0.00015,0,0
0.00016,0,0
0.00017,0,0
0.00018,0,0
0.00019,0,0
0.0002,0,0
0.00021,0,0
0.00022,0,0
0.00023,0,0
0.00024,0,0
0.00025,1,0
0.00026,1,0
0.00027,1,0
0.00028,1,0
0.00029,1,0
0.0003,1,0
0.00031,1,0
0.00032,1,0
0.00033,1,0
0.00034,1,0
0.00035,1,0
0.00036,1,0
0.00037,1,0
0.00038,1,0
0.00039,1,0
0.0004,1,0
0.00041,1,0
0.00042,1,0
0.00043,1,0
0.00044,1,0
0.00045,1,0
0.00046,1,0
0.00047,1,0
0.00048,1,0
0.00049,1,0
0.0005,1,0
0.00051,1,0
0.00052,1,0
0.00053,1,0
0.00054,1,0
0.00055,1,0
0.00056,1,0
0.00057,1,1
0.00058,1,1
0.00059,1,1
0.0006,1,1
0.00061,1,1
0.00062,1,1
0.00063,1,1
0.00064,1,1
0.00065,1,1
0.00066,1,1
0.00067,1,1
0.00068,1,1
0.00069,1,1
0.0007,1,1
0.00071,1,1
0.00072,1,1
0.00073,1,1
0.00074,1,1
0.00075,1,1
0.00076,1,1
0.00077,1,1
0.00078,1,1
0.00079,1,1
0.0008,1,1
0.00081,1,1
0.00082,1,1
0.00083,1,1
0.00084,1,1
0.00085,1,1
0.00086,0,1
0.00087,0,1
0.00088,0,1
0.00089,0,1
0.0009,0,1
0.00091,0,1
0.00092,0,1
0.00093,0,1
0.00094,0,1
0.00095,0,1
0.00096,0,1
0.00097,0,1
0.00098,0,1
0.00099,0,1
0.001,0,1
0.00101,0,1
0.00102,0,1
0.00103,0,1
0.00104,0,1
0.00105,0,1
0.00106,0,1
0.00107,0,1
0.00108,0,1
0.00109,0,1
0.0011,0,1
0.00111,0,1
0.00112,0,1
0.00113,0,1
0.00114,0,1
0.00115,0,1
0.00116,0,1
0.00117,0,1
0.00118,0,1
0.00119,0,0
0.0012,0,0
0.00121,0,0
0.00122,0,0
0.00123,0,0
0.00124,0,0
0.00125,0,0
0.00126,0,0
0.00127,0,0
0.00128,0,0
0.00129,0,0
0.0013,0,0
0.00131,0,0
0.00132,0,0
0.00133,0,0
0.00134,0,0
0.00135,0,0
0.00136,0,0
0.00137,0,0
0.00138,0,0
0.00139,0,0
0.0014,0,0
0.00141,0,0
0.00142,0,0
0.00143,0,0
0.00144,0,0
0.00145,0,0
0.00146,1,0
0.00147,1,0
0.00148,1,0
0.00149,1,0
0.0015,1,0
0.00151,1,0
0.00152,1,0
0.00153,1,0
0.00154,1,0
0.00155,1,0
0.00156,1,0
0.00157,1,0
0.00158,1,0
0.00159,1,0
0.0016,1,0
0.00161,1,0
0.00162,1,0
0.00163,1,0
0.00164,1,0
0.00165,1,0
0.00166,1,0
0.00167,1,0
0.00168,1,0
0.00169,1,0
0.0017,1,0
0.00171,1,0
0.00172,1,0
0.00173,1,0
0.00174,1,0
0.00175,1,0
0.00176,1,0
0.00177,1,1
0.00178,1,1
0.00179,1,1
0.0018,1,1
0.00181,1,1
0.00182,1,1
0.00183,1,1
0.00184,1,1
0.00185,1,1
0.00186,1,1
0.00187,1,1
0.00188,1,1
0.00189,1,1
0.0019,1,1
0.00191,1,1
0.00192,1,1
0.00193,1,1
0.00194,1,1
0.00195,1,1
0.00196,1,1
0.00197,1,1
0.00198,1,1
0.00199,1,1
0.002,1,1
0.00201,1,1
0.00202,1,1
0.00203,1,1
0.00204,1,1
0.00205,0,1
0.00206,0,1
0.00207,0,1
0.00208,0,1
0.00209,0,1
0.0021,0,1
0.00211,0,1
0.00212,0,1
0.00213,0,1
0.00214,0,1
0.00215,0,1
0.00216,0,1
0.00217,0,1
0.00218,0,1
0.00219,0,1
0.0022,0,1
0.00221,0,1
0.00222,0,1
0.00223,0,1
0.00224,0,1
0.00225,0,1
0.00226,0,1
0.00227,0,1
0.00228,0,1
0.00229,0,1
0.0023,0,1
0.00231,0,1
0.00232,0,1
0.00233,0,1
0.00234,0,1
0.00235,0,1
0.00236,0,1
0.00237,0,0
0.00238,0,0
0.00239,0,0
0.0024,0,0
0.00241,0,0
0.00242,0,0
0.00243,0,0
0.00244,0,0
0.00245,0,0
0.00246,0,0
0.00247,0,0
0.00248,0,0
0.00249,0,0
0.0025,0,0
0.00251,0,0
0.00252,0,0
0.00253,0,0
0.00254,0,0
0.00255,0,0
0.00256,0,0
0.00257,0,0
0.00258,0,0
0.00259,0,0
0.0026,0,0
0.00261,0,0
0.00262,0,0
0.00263,1,0
0.00264,1,0
0.00265,1,0
0.00266,1,0
0.00267,1,0
0.00268,1,0
0.00269,1,0
0.0027,1,0
0.00271,1,0
0.00272,1,0
0.00273,1,0
0.00274,1,0
0.00275,1,0
0.00276,1,0
0.00277,1,0
0.00278,1,0
0.00279,1,0
0.0028,1,0
0.00281,1,0
0.00282,1,0
0.00283,1,0
0.00284,1,0
0.00285,1,0
0.00286,1,0
0.00287,1,0
0.00288,1,0
0.00289,1,0
0.0029,1,0
0.00291,1,0
0.00292,1,0
0.00293,1,1
0.00294,1,1
0.00295,1,1
0.00296,1,1
0.00297,1,1
0.00298,1,1
0.00299,1,1
0.003,1,1
0.00301,1,1
0.00302,1,1
0.00303,1,1
0.00304,1,1
0.00305,1,1
0.00306,1,1
0.00307,1,1
0.00308,1,1
0.00309,1,1
0.0031,1,1
0.00311,1,1
0.00312,1,1
0.00313,1,1
0.00314,1,1
0.00315,1,1
0.00316,1,1
0.00317,1,1
0.00318,1,1
0.00319,1,1
0.0032,0,1
0.00321,0,1
0.00322,0,1
0.00323,0,1
0.00324,0,1
0.00325,0,1
0.00326,0,1
0.00327,0,1
0.00328,0,1
0.00329,0,1
0.0033,0,1
0.00331,0,1
0.00332,0,1
0.00333,0,1
0.00334,0,1
0.00335,0,1
0.00336,0,1
0.00337,0,1
0.00338,0,1
0.00339,0,1
0.0034,0,1
0.00341,0,1
0.00342,0,1
0.00343,0,1
0.00344,0,1
0.00345,0,1
0.00346,0,1
0.00347,0,1
0.00348,0,1
0.00349,0,1
0.0035,0,1
0.00351,0,0
0.00352,0,0
0.00353,0,0
0.00354,0,0
0.00355,0,0
0.00356,0,0
0.00357,0,0
0.00358,0,0
0.00359,0,0
0.0036,0,0
0.00361,0,0
0.00362,0,0
0.00363,0,0
0.00364,0,0
0.00365,0,0
0.00366,0,0
0.00367,0,0
0.00368,0,0
0.00369,0,0
0.0037,0,0
0.00371,0,0
0.00372,0,0
0.00373,0,0
0.00374,0,0
0.00375,0,0
0.00376,1,0
0.00377,1,0
0.00378,1,0
0.00379,1,0
0.0038,1,0
0.00381,1,0
0.00382,1,0
0.00383,1,0
0.00384,1,0
0.00385,1,0
0.00386,1,0
0.00387,1,0
0.00388,1,0
0.00389,1,0
0.0039,1,0
0.00391,1,0
0.00392,1,0
0.00393,1,0
0.00394,1,0
0.00395,1,0
0.00396,1,0
0.00397,1,0
0.00398,1,0
0.00399,1,0
0.004,1,0
0.00401,1,0
0.00402,1,0
0.00403,1,0
0.00404,1,0
0.00405,1,0
0.00406,1,1
0.00407,1,1
0.00408,1,1
0.00409,1,1
0.0041,1,1
0.00411,1,1
0.00412,1,1
0.00413,1,1
0.00414,1,1
0.00415,1,1
0.00416,1,1
0.00417,1,1
0.00418,1,1
0.00419,1,1
0.0042,1,1
0.00421,1,1
0.00422,1,1
0.00423,1,1
0.00424,1,1
0.00425,1,1
0.00426,1,1
0.00427,1,1
0.00428,1,1
0.00429,1,1
0.0043,1,1
0.00431,1,1
0.00432,0,1
0.00433,0,1
0.00434,0,1
0.00435,0,1
0.00436,0,1
0.00437,0,1
0.00438,0,1
0.00439,0,1
0.0044,0,1
0.00441,0,1
0.00442,0,1
0.00443,0,1
0.00444,0,1
0.00445,0,1
0.00446,0,1
0.00447,0,1
0.00448,0,1
0.00449,0,1
0.0045,0,1
0.00451,0,1
0.00452,0,1
0.00453,0,1
0.00454,0,1
0.00455,0,1
0.00456,0,1
0.00457,0,1
0.00458,0,1
0.00459,0,1
0.0046,0,1
0.00461,0,1
0.00462,0,0
0.00463,0,0
0.00464,0,0
0.00465,0,0
0.00466,0,0
0.00467,0,0
0.00468,0,0
0.00469,0,0
0.0047,0,0
0.00471,0,0
0.00472,0,0
0.00473,0,0
0.00474,0,0
0.00475,0,0
0.00476,0,0
0.00477,0,0
0.00478,0,0
0.00479,0,0
0.0048,0,0
0.00481,0,0
0.00482,0,0
0.00483,0,0
0.00484,0,0
0.00485,0,0
0.00486,1,0
0.00487,1,0
0.00488,1,0
0.00489,1,0
0.0049,1,0
0.00491,1,0
0.00492,1,0
0.00493,1,0
0.00494,1,0
0.00495,1,0
0.00496,1,0
0.00497,1,0
0.00498,1,0
0.00499,1,0
0.005,1,0
0.00501,1,0
0.00502,1,0
0.00503,1,0
0.00504,1,0
0.00505,1,0
0.00506,1,0
0.00507,1,0
0.00508,1,0
0.00509,1,0
0.0051,1,0
0.00511,1,0
0.00512,1,0
0.00513,1,0
0.00514,1,0
0.00515,1,1
0.00516,1,1
0.00517,1,1
0.00518,1,1
0.00519,1,1
0.0052,1,1
0.00521,1,1
0.00522,1,1
0.00523,1,1
0.00524,1,1
0.00525,1,1
0.00526,1,1
0.00527,1,1
0.00528,1,1
0.00529,1,1
0.0053,1,1
0.00531,1,1
0.00532,1,1
0.00533,1,1
0.00534,1,1
0.00535,1,1
0.00536,1,1
0.00537,1,1
0.00538,1,1
0.00539,1,1
0.0054,0,1
0.00541,0,1
0.00542,0,1
0.00543,0,1
0.00544,0,1
0.00545,0,1
0.00546,0,1
0.00547,0,1
0.00548,0,1
0.00549,0,1
0.0055,0,1
0.00551,0,1
0.00552,0,1
0.00553,0,1
0.00554,0,1
0.00555,0,1
0.00556,0,1
0.00557,0,1
0.00558,0,1
0.00559,0,1
0.0056,0,1
0.00561,0,1
0.00562,0,1
0.00563,0,1
0.00564,0,1
0.00565,0,1
0.00566,0,1
0.00567,0,1
0.00568,0,1
0.00569,0,0
0.0057,0,0
0.00571,0,0
0.00572,0,0
0.00573,0,0
0.00574,0,0
0.00575,0,0
0.00576,0,0
0.00577,0,0
0.00578,0,0
0.00579,0,0
0.0058,0,0
0.00581,0,0
0.00582,0,0
0.00583,0,0
0.00584,0,0
0.00585,0,0
0.00586,0,0
0.00587,0,0
0.00588,0,0
0.00589,0,0
0.0059,0,0
0.00591,0,0
0.00592,0,0
0.00593,1,0
0.00594,1,0
0.00595,1,0
0.00596,1,0
0.00597,1,0
0.00598,1,0
0.00599,1,0
0.006,1,0
0.00601,1,0
0.00602,1,0
