Time (sec),Channel A,Channel B
0,0,1
0.00001,0,1
0.00002,0,1
0.00003,0,1
0.00004,0,1
0.00005,0,1
0.00006,0,1
0.00007,0,1
0.00008,0,1
0.00009,0,1
0.0001,0,1
0.00011,0,1
0.00012,0,1
0.00013,0,1
0.00014,0,1
0.00015,0,1
0.00016,0,1
0.00017,1,1
0.00018,1,1
0.00019,1,1
0.0002,1,1
0.00021,1,1
0.00022,1,1
0.00023,1,1
0.00024,1,1
0.00025,1,1
0.00026,1,1
0.00027,1,1
0.00028,1,1
0.00029,1,1
0.0003,1,1
0.00031,1,1
0.00032,1,1
0.00033,1,1
0.00034,1,1
0.00035,1,0
0.00036,1,0
0.00037,1,0
0.00038,1,0
0.00039,1,0
0.0004,1,0
0.00041,1,0
0.00042,1,0
0.00043,1,0
0.00044,1,0
0.00045,1,0
0.00046,1,0
0.00047,1,0
0.00048,1,0
0.00049,1,0
0.0005,1,0
0.00051,1,0
0.00052,1,0
0.00053,1,0
0.00054,1,0
0.00055,1,0
0.00056,0,0
0.00057,0,0
0.00058,0,0
0.00059,0,0
0.0006,0,0
0.00061,0,0
0.00062,0,0
0.00063,0,0
0.00064,0,0
0.00065,0,0
0.00066,0,0
0.00067,0,0
0.00068,0,0
0.00069,0,0
0.0007,0,0
0.00071,0,0
0.00072,0,0
0.00073,0,1
0.00074,0,1
0.00075,0,1
0.00076,0,1
0.00077,0,1
0.00078,0,1
0.00079,0,1
0.0008,0,1
0.00081,0,1
0.00082,0,1
0.00083,0,1
0.00084,0,1
0.00085,0,1
0.00086,0,1
0.00087,0,1
0.00088,0,1
0.00089,0,1
0.0009,0,1
0.00091,0,1
0.00092,0,1
0.00093,0,1
0.00094,1,1
0.00095,1,1
0.00096,1,1
0.00097,1,1
0.00098,1,1
0.00099,1,1
0.001,1,1
0.00101,1,1
0.00102,1,1
0.00103,1,1
0.00104,1,1
0.00105,1,1
0.00106,1,1
0.00107,1,1
0.00108,1,1
0.00109,1,1
0.0011,1,1
0.00111,1,1
0.00112,1,0
0.00113,1,0
0.00114,1,0
0.00115,1,0
0.00116,1,0
0.00117,1,0
0.00118,1,0
0.00119,1,0
0.0012,1,0
0.00121,1,0
0.00122,1,0
0.00123,1,0
0.00124,1,0
0.00125,1,0
0.00126,1,0
0.00127,1,0
0.00128,1,0
0.00129,1,0
0.0013,1,0
0.00131,1,0
0.00132,1,0
0.00133,0,0
0.00134,0,0
0.00135,0,0
0.00136,0,0
0.00137,0,0
0.00138,0,0
0.00139,0,0
0.0014,0,0
0.00141,0,0
0.00142,0,0
0.00143,0,0
0.00144,0,0
0.00145,0,0
0.00146,0,0
0.00147,0,0
0.00148,0,0
0.00149,0,0
0.0015,0,1
0.00151,0,1
0.00152,0,1
0.00153,0,1
0.00154,0,1
0.00155,0,1
0.00156,0,1
0.00157,0,1
0.00158,0,1
0.00159,0,1
0.0016,0,1
0.00161,0,1
0.00162,0,1
0.00163,0,1
0.00164,0,1
0.00165,0,1
0.00166,0,1
0.00167,0,1
0.00168,0,1
0.00169,0,1
0.0017,0,1
0.00171,1,1
0.00172,1,1
0.00173,1,1
0.00174,1,1
0.00175,1,1
0.00176,1,1
0.00177,1,1
0.00178,1,1
0.00179,1,1
0.0018,1,1
0.00181,1,1
0.00182,1,1
0.00183,1,1
0.00184,1,1
0.00185,1,1
0.00186,1,1
0.00187,1,1
0.00188,1,1
0.00189,1,1
0.0019,1,0
0.00191,1,0
0.00192,1,0
0.00193,1,0
0.00194,1,0
0.00195,1,0
0.00196,1,0
0.00197,1,0
0.00198,1,0
0.00199,1,0
0.002,1,0
0.00201,1,0
0.00202,1,0
0.00203,1,0
0.00204,1,0
0.00205,1,0
0.00206,1,0
0.00207,1,0
0.00208,1,0
0.00209,1,0
0.0021,1,0
0.00211,0,0
0.00212,0,0
0.00213,0,0
0.00214,0,0
0.00215,0,0
0.00216,0,0
0.00217,0,0
0.00218,0,0
0.00219,0,0
0.0022,0,0
0.00221,0,0
0.00222,0,0
0.00223,0,0
0.00224,0,0
0.00225,0,0
0.00226,0,0
0.00227,0,0
0.00228,0,1
0.00229,0,1
0.0023,0,1
0.00231,0,1
0.00232,0,1
0.00233,0,1
0.00234,0,1
0.00235,0,1
0.00236,0,1
0.00237,0,1
0.00238,0,1
0.00239,0,1
0.0024,0,1
0.00241,0,1
0.00242,0,1
0.00243,0,1
0.00244,0,1
0.00245,0,1
0.00246,0,1
0.00247,0,1
0.00248,0,1
0.00249,1,1
0.0025,1,1
0.00251,1,1
0.00252,1,1
0.00253,1,1
0.00254,1,1
0.00255,1,1
0.00256,1,1
0.00257,1,1
0.00258,1,1
0.00259,1,1
0.0026,1,1
0.00261,1,1
0.00262,1,1
0.00263,1,1
0.00264,1,1
0.00265,1,1
0.00266,1,1
0.00267,1,1
0.00268,1,0
0.00269,1,0
0.0027,1,0
0.00271,1,0
0.00272,1,0
0.00273,1,0
0.00274,1,0
0.00275,1,0
0.00276,1,0
0.00277,1,0
0.00278,1,0
0.00279,1,0
0.0028,1,0
0.00281,1,0
0.00282,1,0
0.00283,1,0
0.00284,1,0
0.00285,1,0
0.00286,1,0
0.00287,1,0
0.00288,1,0
0.00289,0,0
0.0029,0,0
0.00291,0,0
0.00292,0,0
0.00293,0,0
0.00294,0,0
0.00295,0,0
0.00296,0,0
0.00297,0,0
0.00298,0,0
0.00299,0,0
0.003,0,0
0.00301,0,0
0.00302,0,0
0.00303,0,0
