Time (sec),Channel A,Channel B
0,0,0
0.0000025,0,0
0.000005,0,0
0.0000075,0,0
0.00001,0,0
0.0000125,1,0
0.000015,1,0
0.0000175,1,0
0.00002,1,0
0.0000225,1,0
0.000025,1,0
0.0000275,1,0
0.00003,1,1
0.0000325,1,1
0.000035,1,1
0.0000375,1,1
0.00004,1,1
0.0000425,0,1
0.000045,0,1
0.0000475,0,1
0.00005,0,1
0.0000525,0,1
0.000055,0,1
0.0000575,0,0
0.00006,0,0
0.0000625,0,0
0.000065,0,0
0.0000675,0,0
0.00007,0,0
0.0000725,1,0
0.000075,1,0
0.0000775,1,0
0.00008,1,0
0.0000825,1,0
0.000085,1,0
0.0000875,1,1
0.00009,1,1
0.0000925,1,1
0.000095,1,1
0.0000975,1,1
0.0001,1,1
0.0001025,0,1
0.000105,0,1
0.0001075,0,1
0.00011,0,1
0.0001125,0,1
0.000115,0,1
0.0001175,0,0
0.00012,0,0
0.0001225,0,0
0.000125,0,0
0.0001275,0,0
0.00013,0,0
0.0001325,1,0
0.000135,1,0
0.0001375,1,0
0.00014,1,0
0.0001425,1,0
0.000145,1,0
0.0001475,1,1
0.00015,1,1
0.0001525,1,1
0.000155,1,1
0.0001575,1,1
0.00016,0,1
0.0001625,0,1
0.000165,0,1
0.0001675,0,1
0.00017,0,1
0.0001725,0,1
0.000175,0,1
0.0001775,0,0
0.00018,0,0
0.0001825,0,0
0.000185,0,0
0.0001875,0,0
0.00019,0,0
0.0001925,1,0
0.000195,1,0
0.0001975,1,0
0.0002,1,0
0.0002025,1,0
0.000205,1,0
0.0002075,1,1
0.00021,1,1
0.0002125,1,1
0.000215,1,1
0.0002175,1,1
0.00022,0,1
0.0002225,0,1
0.000225,0,1
0.0002275,0,1
0.00023,0,1
0.0002325,0,1
0.000235,0,1
0.0002375,0,0
0.00024,0,0
0.0002425,0,0
0.000245,0,0
0.0002475,0,0
0.00025,1,0
0.0002525,1,0
0.000255,1,0
0.0002575,1,0
0.00026,1,0
0.0002625,1,0
0.000265,1,0
0.0002675,1,1
0.00027,1,1
0.0002725,1,1
0.000275,1,1
0.0002775,1,1
0.00028,0,1
0.0002825,0,1
0.000285,0,1
0.0002875,0,1
0.00029,0,1
0.0002925,0,1
0.000295,0,0
0.0002975,0,0
0.0003,0,0
0.0003025,0,0
0.000305,0,0
0.0003075,0,0
0.00031,1,0
0.0003125,1,0
0.000315,1,0
0.0003175,1,0
0.00032,1,0
0.0003225,1,0
0.000325,1,1
0.0003275,1,1
0.00033,1,1
0.0003325,1,1
0.000335,1,1
0.0003375,1,1
0.00034,0,1
0.0003425,0,1
0.000345,0,1
0.0003475,0,1
0.00035,0,1
0.0003525,0,1
0.000355,0,0
0.0003575,0,0
0.00036,0,0
0.0003625,0,0
0.000365,0,0
0.0003675,0,0
0.00037,1,0
0.0003725,1,0
0.000375,1,0
0.0003775,1,0
0.00038,1,0
0.0003825,1,0
0.000385,1,1
0.0003875,1,1
0.00039,1,1
0.0003925,1,1
0.000395,1,1
0.0003975,0,1
0.0004,0,1
0.0004025,0,1
0.000405,0,1
0.0004075,0,1
0.00041,0,1
0.0004125,0,1
0.000415,0,0
0.0004175,0,0
0.00042,0,0
0.0004225,0,0
0.000425,0,0
0.0004275,1,0
0.00043,1,0
0.0004325,1,0
0.000435,1,0
0.0004375,1,0
0.00044,1,0
0.0004425,1,0
0.000445,1,1
0.0004475,1,1
0.00045,1,1
0.0004525,1,1
0.000455,1,1
0.0004575,0,1
0.00046,0,1
0.0004625,0,1
0.000465,0,1
0.0004675,0,1
0.00047,0,1
0.0004725,0,1
0.000475,0,0
0.0004775,0,0
0.00048,0,0
0.0004825,0,0
0.000485,0,0
0.0004875,1,0
0.00049,1,0
0.0004925,1,0
0.000495,1,0
0.0004975,1,0
0.0005,1,0
0.0005025,1,1
0.000505,1,1
0.0005075,1,1
0.00051,1,1
0.0005125,1,1
0.000515,1,1
0.0005175,0,1
0.00052,0,1
0.0005225,0,1
0.000525,0,1
0.0005275,0,1
0.00053,0,1
0.0005325,0,0
0.000535,0,0
0.0005375,0,0
0.00054,0,0
0.0005425,0,0
0.000545,0,0
0.0005475,1,0
0.00055,1,0
0.0005525,1,0
0.000555,1,0
0.0005575,1,0
0.00056,1,0
0.0005625,1,1
0.000565,1,1
0.0005675,1,1
0.00057,1,1
0.0005725,1,1
0.000575,1,1
0.0005775,0,1
0.00058,0,1
0.0005825,0,1
0.000585,0,1
0.0005875,0,1
0.00059,0,1
0.0005925,0,0
0.000595,0,0
0.0005975,0,0
0.0006,0,0
0.0006025,0,0
0.000605,0,0
0.0006075,1,0
0.00061,1,0
0.0006125,1,0
0.000615,1,0
0.0006175,1,0
0.00062,1,0
0.0006225,1,1
0.000625,1,1
0.0006275,1,1
0.00063,1,1
0.0006325,1,1
0.000635,0,1
0.0006375,0,1
0.00064,0,1
0.0006425,0,1
0.000645,0,1
0.0006475,0,1
0.00065,0,1
0.0006525,0,0
0.000655,0,0
0.0006575,0,0
0.00066,0,0
0.0006625,0,0
0.000665,1,0
0.0006675,1,0
0.00067,1,0
0.0006725,1,0
0.000675,1,0
0.0006775,1,0
0.00068,1,0
0.0006825,1,1
0.000685,1,1
0.0006875,1,1
0.00069,1,1
0.0006925,1,1
0.000695,0,1
0.0006975,0,1
0.0007,0,1
0.0007025,0,1
0.000705,0,1
0.0007075,0,1
0.00071,0,1
0.0007125,0,0
0.000715,0,0
0.0007175,0,0
0.00072,0,0
0.0007225,0,0
0.000725,1,0
0.0007275,1,0
0.00073,1,0
0.0007325,1,0
0.000735,1,0
0.0007375,1,0
0.00074,1,1
0.0007425,1,1
0.000745,1,1
0.0007475,1,1
0.00075,1,1
0.0007525,1,1
0.000755,0,1
0.0007575,0,1
0.00076,0,1
0.0007625,0,1
0.000765,0,1
0.0007675,0,1
0.00077,0,0
0.0007725,0,0
0.000775,0,0
0.0007775,0,0
0.00078,0,0
0.0007825,0,0
0.000785,1,0
0.0007875,1,0
0.00079,1,0
0.0007925,1,0
0.000795,1,0
0.0007975,1,0
0.0008,1,1
0.0008025,1,1
0.000805,1,1
0.0008075,1,1
0.00081,1,1
0.0008125,0,1
0.000815,0,1
0.0008175,0,1
0.00082,0,1
0.0008225,0,1
0.000825,0,1
0.0008275,0,1
0.00083,0,0
0.0008325,0,0
0.000835,0,0
0.0008375,0,0
0.00084,0,0
0.0008425,0,0
0.000845,1,0
0.0008475,1,0
0.00085,1,0
0.0008525,1,0
0.000855,1,0
0.0008575,1,0
0.00086,1,1
0.0008625,1,1
0.000865,1,1
0.0008675,1,1
0.00087,1,1
0.0008725,0,1
0.000875,0,1
0.0008775,0,1
0.00088,0,1
0.0008825,0,1
0.000885,0,1
0.0008875,0,1
0.00089,0,0
0.0008925,0,0
0.000895,0,0
0.0008975,0,0
0.0009,0,0
0.0009025,1,0
0.000905,1,0
0.0009075,1,0
0.00091,1,0
0.0009125,1,0
0.000915,1,0
0.0009175,1,0
0.00092,1,1
0.0009225,1,1
0.000925,1,1
0.0009275,1,1
0.00093,1,1
0.0009325,0,1
0.000935,0,1
0.0009375,0,1
0.00094,0,1
0.0009425,0,1
0.000945,0,1
0.0009475,0,0
0.00095,0,0
0.0009525,0,0
0.000955,0,0
0.0009575,0,0
0.00096,0,0
0.0009625,1,0
0.000965,1,0
0.0009675,1,0
0.00097,1,0
0.0009725,1,0
0.000975,1,0
0.0009775,1,1
0.00098,1,1
0.0009825,1,1
0.000985,1,1
0.0009875,1,1
0.00099,1,1
0.0009925,0,1
0.000995,0,1
0.0009975,0,1
0.001,0,1
0.0010025,0,1
0.001005,0,1
0.0010075,0,0
0.00101,0,0
0.0010125,0,0
0.001015,0,0
0.0010175,0,0
0.00102,0,0
0.0010225,1,0
0.001025,1,0
0.0010275,1,0
0.00103,1,0
0.0010325,1,0
0.001035,1,0
0.0010375,1,1
0.00104,1,1
0.0010425,1,1
0.001045,1,1
0.0010475,1,1
0.00105,0,1
0.0010525,0,1
0.001055,0,1
0.0010575,0,1
0.00106,0,1
0.0010625,0,1
0.001065,0,1
0.0010675,0,0
0.00107,0,0
0.0010725,0,0
0.001075,0,0
0.0010775,0,0
0.00108,0,0
0.0010825,1,0
0.001085,1,0
0.0010875,1,0
0.00109,1,0
0.0010925,1,0
0.001095,1,0
0.0010975,1,1
0.0011,1,1
0.0011025,1,1
0.001105,1,1
0.0011075,1,1
0.00111,0,1
0.0011125,0,1
0.001115,0,1
0.0011175,0,1
0.00112,0,1
0.0011225,0,1
0.001125,0,1
0.0011275,0,0
0.00113,0,0
0.0011325,0,0
0.001135,0,0
0.0011375,0,0
0.00114,1,0
0.0011425,1,0
0.001145,1,0
0.0011475,1,0
0.00115,1,0
0.0011525,1,0
0.001155,1,0
0.0011575,1,1
0.00116,1,1
0.0011625,1,1
0.001165,1,1
0.0011675,1,1
0.00117,0,1
0.0011725,0,1
0.001175,0,1
0.0011775,0,1
0.00118,0,1
0.0011825,0,1
0.001185,0,0
0.0011875,0,0
0.00119,0,0
0.0011925,0,0
0.001195,0,0
0.0011975,0,0
0.0012,1,0
0.0012025,1,0
0.001205,1,0
0.0012075,1,0
0.00121,1,0
0.0012125,1,0
0.001215,1,1
0.0012175,1,1
0.00122,1,1
0.0012225,1,1
0.001225,1,1
0.0012275,1,1
0.00123,0,1
0.0012325,0,1
0.001235,0,1
0.0012375,0,1
0.00124,0,1
0.0012425,0,1
0.001245,0,0
0.0012475,0,0
0.00125,0,0
0.0012525,0,0
0.001255,0,0
0.0012575,0,0
0.00126,1,0
0.0012625,1,0
0.001265,1,0
0.0012675,1,0
0.00127,1,0
0.0012725,1,0
0.001275,1,1
0.0012775,1,1
0.00128,1,1
0.0012825,1,1
0.001285,1,1
0.0012875,1,1
0.00129,0,1
0.0012925,0,1
0.001295,0,1
0.0012975,0,1
0.0013,0,1
0.0013025,0,1
0.001305,0,0
0.0013075,0,0
0.00131,0,0
0.0013125,0,0
0.001315,0,0
0.0013175,0,0
0.00132,1,0
0.0013225,1,0
0.001325,1,0
0.0013275,1,0
0.00133,1,0
0.0013325,1,0
0.001335,1,1
0.0013375,1,1
0.00134,1,1
0.0013425,1,1
0.001345,1,1
0.0013475,0,1
0.00135,0,1
0.0013525,0,1
0.001355,0,1
0.0013575,0,1
0.00136,0,1
0.0013625,0,1
0.001365,0,0
0.0013675,0,0
0.00137,0,0
0.0013725,0,0
0.001375,0,0
0.0013775,1,0
0.00138,1,0
0.0013825,1,0
0.001385,1,0
0.0013875,1,0
0.00139,1,0
0.0013925,1,0
0.001395,1,1
0.0013975,1,1
0.0014,1,1
0.0014025,1,1
0.001405,1,1
0.0014075,0,1
0.00141,0,1
0.0014125,0,1
0.001415,0,1
0.0014175,0,1
0.00142,0,1
0.0014225,0,1
0.001425,0,0
0.0014275,0,0
0.00143,0,0
0.0014325,0,0
0.001435,0,0
0.0014375,1,0
0.00144,1,0
0.0014425,1,0
0.001445,1,0
0.0014475,1,0
0.00145,1,0
0.0014525,1,1
0.001455,1,1
0.0014575,1,1
0.00146,1,1
0.0014625,1,1
0.001465,1,1
0.0014675,0,1
0.00147,0,1
0.0014725,0,1
0.001475,0,1
0.0014775,0,1
0.00148,0,1
0.0014825,0,0
0.001485,0,0
0.0014875,0,0
0.00149,0,0
0.0014925,0,0
0.001495,0,0
0.0014975,1,0
0.0015,1,0
0.0015025,1,0
0.001505,1,0
0.0015075,1,0
0.00151,1,0
0.0015125,1,1
0.001515,1,1
0.0015175,1,1
0.00152,1,1
0.0015225,1,1
0.001525,1,1
0.0015275,0,1
0.00153,0,1
0.0015325,0,1
0.001535,0,1
0.0015375,0,1
0.00154,0,1
0.0015425,0,0
0.001545,0,0
0.0015475,0,0
0.00155,0,0
0.0015525,0,0
0.001555,0,0
0.0015575,1,0
0.00156,1,0
0.0015625,1,0
0.001565,1,0
0.0015675,1,0
0.00157,1,0
0.0015725,1,1
0.001575,1,1
0.0015775,1,1
0.00158,1,1
0.0015825,1,1
0.001585,0,1
0.0015875,0,1
0.00159,0,1
0.0015925,0,1
0.001595,0,1
0.0015975,0,1
0.0016,0,1
0.0016025,0,0
0.001605,0,0
0.0016075,0,0
0.00161,0,0
0.0016125,0,0
0.001615,0,0
0.0016175,1,0
0.00162,1,0
0.0016225,1,0
0.001625,1,0
0.0016275,1,0
0.00163,1,0
0.0016325,1,1
0.001635,1,1
0.0016375,1,1
0.00164,1,1
0.0016425,1,1
0.001645,0,1
0.0016475,0,1
0.00165,0,1
0.0016525,0,1
0.001655,0,1
0.0016575,0,1
0.00166,0,1
0.0016625,0,0
0.001665,0,0
0.0016675,0,0
0.00167,0,0
0.0016725,0,0
0.001675,1,0
0.0016775,1,0
0.00168,1,0
0.0016825,1,0
0.001685,1,0
0.0016875,1,0
0.00169,1,0
0.0016925,1,1
0.001695,1,1
0.0016975,1,1
0.0017,1,1
0.0017025,1,1
0.001705,0,1
0.0017075,0,1
0.00171,0,1
0.0017125,0,1
0.001715,0,1
0.0017175,0,1
0.00172,0,0
0.0017225,0,0
0.001725,0,0
0.0017275,0,0
0.00173,0,0
0.0017325,0,0
0.001735,1,0
0.0017375,1,0
0.00174,1,0
0.0017425,1,0
0.001745,1,0
0.0017475,1,0
0.00175,1,1
0.0017525,1,1
0.001755,1,1
0.0017575,1,1
0.00176,1,1
0.0017625,1,1
0.001765,0,1
0.0017675,0,1
0.00177,0,1
0.0017725,0,1
0.001775,0,1
0.0017775,0,1
0.00178,0,0
0.0017825,0,0
0.001785,0,0
0.0017875,0,0
0.00179,0,0
0.0017925,0,0
0.001795,1,0
0.0017975,1,0
0.0018,1,0
0.0018025,1,0
0.001805,1,0
0.0018075,1,0
0.00181,1,1
0.0018125,1,1
0.001815,1,1
0.0018175,1,1
0.00182,1,1
0.0018225,0,1
0.001825,0,1
0.0018275,0,1
0.00183,0,1
0.0018325,0,1
0.001835,0,1
0.0018375,0,1
0.00184,0,0
0.0018425,0,0
0.001845,0,0
0.0018475,0,0
0.00185,0,0
0.0018525,0,0
0.001855,1,0
0.0018575,1,0
0.00186,1,0
0.0018625,1,0
0.001865,1,0
0.0018675,1,0
0.00187,1,1
0.0018725,1,1
0.001875,1,1
0.0018775,1,1
0.00188,1,1
0.0018825,0,1
0.001885,0,1
0.0018875,0,1
0.00189,0,1
0.0018925,0,1
0.001895,0,1
