Time (s),Applied Torque (Nm),Load Cell 0 (V),Load Cell 1 (V)
0.001,0,-0.859276714,-0.989983953
0.002,0,-0.860574056,-0.989659618
0.003,0,-0.860574056,-0.989983953
0.004,0,-0.860898392,-0.989335282
0.005,0,-0.860898392,-0.989010946
0.006,0,-0.861222727,-0.98803794
0.007,0,-0.861547063,-0.987389269
0.008,0,-0.862195734,-0.987713604
0.009,0,-0.860574056,-0.987064933
0.01,0,-0.861871399,-0.986416262
0.011,0,-0.861222727,-0.985767591
0.012,0,-0.861547063,-0.985767591
0.013,0,-0.861871399,-0.985443256
0.014,0,-0.861547063,-0.984145913
0.015,0,-0.861222727,-0.983821578
0.016,0,-0.861547063,-0.983172907
0.017,0,-0.860574056,-0.9821999
0.018,0,-0.860898392,-0.981875565
0.019,0,-0.860898392,-0.981551229
0.02,0,-0.860574056,-0.980578223
0.021,0,-0.860574056,-0.980902558
0.022,0,-0.860574056,-0.979929551
0.023,0,-0.860249721,-0.978632209
0.024,0,-0.860249721,-0.97928088
0.025,0,-0.860249721,-0.978307874
0.026,0,-0.859601049,-0.977659203
0.027,0,-0.858952378,-0.97636186
0.028,0,-0.859276714,-0.976686196
0.029,0,-0.859276714,-0.976686196
0.03,0,-0.858628042,-0.977334867
0.031,0,-0.858628042,-0.978632209
0.032,0,-0.858303707,-0.97928088
0.033,0,-0.858303707,-0.980578223
0.034,0,-0.857655035,-0.9821999
0.035,0,-0.8573307,-0.983497242
0.036,0,-0.857655035,-0.984794585
0.037,0,-0.8573307,-0.985767591
0.038,0,-0.856682029,-0.987064933
0.039,0,-0.855709022,-0.98803794
0.04,0,-0.856033357,-0.989010946
0.041,0,-0.85506035,-0.989659618
0.042,0,-0.855384686,-0.990632624
0.043,0,-0.854736015,-0.991605631
0.044,0,-0.854736015,-0.992254302
0.045,0,-0.854087344,-0.992578637
0.046,0,-0.853763008,-0.992902973
0.047,0,-0.853763008,-0.993551644
0.048,0,-0.853114337,-0.993551644
0.049,0,-0.851816994,-0.993875979
0.05,0,-0.852465665,-0.993551644
