Time (s),Applied Torque (Nm),Load Cell 0 (V),Load Cell 1 (V)
0.001,0.08,-0.378286675,-1.492379
0.002,0.08,-0.378935347,-1.491082
0.003,0.08,-0.378286675,-1.490433
0.004,0.08,-0.377962339,-1.488812
0.005,0.08,-0.377962339,-1.487839
0.006,0.08,-0.377962339,-1.486866
0.007,0.08,-0.376989331,-1.48492
0.008,0.08,-0.376340659,-1.483622
0.009,0.08,-0.376989331,-1.483298
0.01,0.08,-0.376016323,-1.480703
0.011,0.08,-0.375367651,-1.481352
0.012,0.08,-0.375367651,-1.483622
0.013,0.08,-0.374718979,-1.485893
0.014,0.08,-0.374070306,-1.488487
0.015,0.08,-0.373097298,-1.491406
0.016,0.08,-0.372772962,-1.493677
0.017,0.08,-0.371799954,-1.495623
0.018,0.08,-0.371151282,-1.496596
0.019,0.08,-0.369853938,-1.497893
0.02,0.08,-0.369529602,-1.498217
0.021,0.08,-0.36888093,-1.498542
0.022,0.08,-0.369529602,-1.498866
0.023,0.08,-0.370178274,-1.498217
0.024,0.08,-0.372448626,-1.497569
0.025,0.08,-0.373421634,-1.49692
0.026,0.16,-0.377638003,-1.485244
0.027,0.16,-0.376664995,-1.483622
0.028,0.16,-0.376340659,-1.481676
0.029,0.16,-0.376016323,-1.482325
0.03,0.16,-0.375043315,-1.483298
0.031,0.16,-0.375043315,-1.486217
0.032,0.16,-0.374070306,-1.489136
0.033,0.16,-0.373421634,-1.491406
0.034,0.16,-0.372772962,-1.493352
0.035,0.16,-0.37212429,-1.495623
0.036,0.16,-0.371475618,-1.496271
0.037,0.16,-0.370826946,-1.497244
0.038,0.16,-0.370178274,-1.497569
0.039,0.16,-0.369205266,-1.497893
0.04,0.16,-0.370178274,-1.497893
0.041,0.16,-0.371151282,-1.497569
0.042,0.16,-0.372448626,-1.496596
0.043,0.16,-0.374070306,-1.495947
0.044,0.16,-0.375043315,-1.494974
0.045,0.16,-0.376340659,-1.494974
0.046,0.16,-0.376989331,-1.494325
0.047,0.16,-0.377313667,-1.492704
0.048,0.16,-0.378286675,-1.492055
0.049,0.16,-0.378286675,-1.491082
0.05,0.16,-0.377962339,-1.490109
0.051,0.24,-0.136331903,-1.74828
0.052,0.24,-0.135358894,-1.750226
0.053,0.24,-0.134385885,-1.751523
0.054,0.24,-0.133737212,-1.753145
0.055,0.24,-0.13308854,-1.754442
0.056,0.24,-0.132764204,-1.754767
0.057,0.24,-0.131466858,-1.754442
0.058,0.24,-0.132115531,-1.754442
0.059,0.24,-0.133412876,-1.754767
0.06,0.24,-0.135034557,-1.753469
0.061,0.24,-0.136331903,-1.752172
0.062,0.24,-0.137953584,-1.751523
0.063,0.24,-0.138602256,-1.750875
0.064,0.24,-0.139250929,-1.75055
0.065,0.24,-0.139899602,-1.749253
0.066,0.24,-0.140223938,-1.748604
0.067,0.24,-0.140548274,-1.746982
0.068,0.24,-0.140223938,-1.746009
0.069,0.24,-0.140223938,-1.745685
0.07,0.24,-0.139250929,-1.743739
0.071,0.24,-0.139250929,-1.741793
0.072,0.24,-0.139575265,-1.74082
0.073,0.24,-0.139250929,-1.739523
0.074,0.24,-0.138602256,-1.738225
0.075,0.24,-0.137953584,-1.738874
0.076,0.32,-0.104871283,-2.191646
0.077,0.32,-0.10422261,-2.190997
0.078,0.32,-0.104546946,-2.190997
0.079,0.32,-0.10422261,-2.191646
0.08,0.32,-0.102925265,-2.194889
0.081,0.32,-0.102276592,-2.197484
0.082,0.32,-0.101303583,-2.200078
0.083,0.32,-0.10162792,-2.202997
0.084,0.32,-0.100006238,-2.204619
0.085,0.32,-0.099357565,-2.205916
0.086,0.32,-0.098708893,-2.206565
0.087,0.32,-0.09806022,-2.207214
0.088,0.32,-0.097735884,-2.207538
0.089,0.32,-0.098708893,-2.207214
0.09,0.32,-0.100006238,-2.206565
0.091,0.32,-0.101303583,-2.205592
0.092,0.32,-0.103249601,-2.205268
0.093,0.32,-0.10422261,-2.204619
0.094,0.32,-0.105519955,-2.204295
0.095,0.32,-0.105844291,-2.202997
0.096,0.32,-0.107141637,-2.202349
0.097,0.32,-0.1068173,-2.200403
0.098,0.32,-0.107465973,-2.199754
0.099,0.32,-0.106168628,-2.198781
0.1,0.32,-0.106168628,-2.197808
0.101,0.24,-0.139250929,-1.752821
0.102,0.24,-0.139899602,-1.751848
0.103,0.24,-0.139575265,-1.75055
0.104,0.24,-0.141196947,-1.749901
0.105,0.24,-0.14087261,-1.748928
0.106,0.24,-0.140548274,-1.747307
0.107,0.24,-0.141196947,-1.746009
0.108,0.24,-0.140548274,-1.744712
0.109,0.24,-0.140223938,-1.743739
0.11,0.24,-0.139575265,-1.742442
0.111,0.24,-0.139899602,-1.740496
0.112,0.24,-0.138926593,-1.73855
0.113,0.24,-0.13827792,-1.739198
0.114,0.24,-0.137304911,-1.740496
0.115,0.24,-0.137304911,-1.743739
0.116,0.24,-0.136980575,-1.746334
0.117,0.24,-0.13568323,-1.749253
0.118,0.24,-0.135034557,-1.750875
0.119,0.24,-0.134385885,-1.752496
0.12,0.24,-0.133737212,-1.753794
0.121,0.24,-0.13308854,-1.754767
0.122,0.24,-0.131791195,-1.755415
0.123,0.24,-0.132115531,-1.754767
0.124,0.24,-0.13308854,-1.754767
0.125,0.24,-0.134710221,-1.754442
0.126,0.16,-0.376016323,-1.496596
0.127,0.16,-0.377313667,-1.495947
0.128,0.16,-0.377638003,-1.494974
0.129,0.16,-0.378286675,-1.493677
0.13,0.16,-0.378935347,-1.492704
0.131,0.16,-0.378935347,-1.491731
0.132,0.16,-0.378611011,-1.491082
0.133,0.16,-0.378286675,-1.48946
0.134,0.16,-0.378611011,-1.488163
0.135,0.16,-0.377962339,-1.486217
0.136,0.16,-0.377638003,-1.485244
0.137,0.16,-0.377638003,-1.483298
0.138,0.16,-0.376989331,-1.482649
0.139,0.16,-0.376664995,-1.483298
0.14,0.16,-0.376340659,-1.485893
0.141,0.16,-0.375367651,-1.489136
0.142,0.16,-0.37374597,-1.492055
0.143,0.16,-0.373421634,-1.494001
0.144,0.16,-0.373097298,-1.495623
0.145,0.16,-0.371799954,-1.49692
0.146,0.16,-0.371151282,-1.498217
0.147,0.16,-0.37050261,-1.498866
0.148,0.16,-0.369529602,-1.498542
0.149,0.16,-0.371151282,-1.498542
0.15,0.16,-0.37212429,-1.498217
0.151,0.08,-0.618943938,-1.24102
0.152,0.08,-0.61959261,-1.240371
0.153,0.08,-0.61959261,-1.238749
0.154,0.08,-0.61959261,-1.238101
0.155,0.08,-0.620241282,-1.236803
0.156,0.08,-0.61959261,-1.235506
0.157,0.08,-0.619268274,-1.234209
0.158,0.08,-0.61959261,-1.233236
0.159,0.08,-0.618943938,-1.23129
0.16,0.08,-0.618943938,-1.229668
0.161,0.08,-0.617970931,-1.228046
0.162,0.08,-0.617646595,-1.228371
0.163,0.08,-0.617322259,-1.230641
0.164,0.08,-0.616024916,-1.233236
0.165,0.08,-0.616024916,-1.236155
0.166,0.08,-0.615376244,-1.238749
0.167,0.08,-0.614403237,-1.240371
0.168,0.08,-0.613754565,-1.241344
0.169,0.08,-0.612457222,-1.243614
0.17,0.08,-0.611484214,-1.243939
0.171,0.08,-0.611484214,-1.243614
0.172,0.08,-0.610835542,-1.244263
0.173,0.08,-0.613105893,-1.243614
0.174,0.08,-0.614403237,-1.242317
0.175,0.08,-0.61570058,-1.242641
0.176,0,-0.856033357,-0.989983953
0.177,0,-0.855384686,-0.991281295
0.178,0,-0.85506035,-0.992578637
0.179,0,-0.853114337,-0.993227308
0.18,0,-0.853114337,-0.993551644
0.181,0,-0.852790001,-0.993875979
0.182,0,-0.854736015,-0.992902973
0.183,0,-0.856357693,-0.991605631
0.184,0,-0.858303707,-0.991605631
0.185,0,-0.859276714,-0.99095696
0.186,0,-0.860574056,-0.990632624
0.187,0,-0.861222727,-0.989659618
0.188,0,-0.862195734,-0.988686611
0.189,0,-0.862195734,-0.987389269
0.19,0,-0.86252007,-0.986091927
0.191,0,-0.861871399,-0.984794585
0.192,0,-0.86252007,-0.983172907
0.193,0,-0.861547063,-0.9821999
0.194,0,-0.861222727,-0.980253887
0.195,0,-0.860574056,-0.979929551
0.196,0,-0.860898392,-0.977983538
0.197,0,-0.859925385,-0.97636186
0.198,0,-0.859601049,-0.977659203
0.199,0,-0.858952378,-0.980253887
0.2,0,-0.858303707,-0.983821578
