Time (s),Applied Torque (Nm),Load Cell 0 (V),Load Cell 1 (V)
0.001,0,-0.860898392,-0.980902558
0.002,0,-0.860574056,-0.979605216
0.003,0,-0.860249721,-0.977659203
0.004,0,-0.859601049,-0.974740183
0.005,0,-0.859276714,-0.973767176
0.006,0,-0.858303707,-0.977659203
0.007,0,-0.8573307,-0.981551229
0.008,0,-0.856357693,-0.984794585
0.009,0,-0.855709022,-0.988362275
0.01,0,-0.854087344,-0.989983953
0.011,0,-0.853114337,-0.991281295
0.012,0,-0.851816994,-0.99095696
0.013,0,-0.854087344,-0.991605631
0.014,0,-0.856033357,-0.990308289
0.015,0,-0.857979371,-0.989335282
0.016,0,-0.859601049,-0.988362275
0.017,0,-0.860574056,-0.987064933
0.018,0,-0.861222727,-0.986091927
0.019,0,-0.861547063,-0.983821578
0.02,0,-0.861547063,-0.982848571
0.021,0,-0.861222727,-0.980902558
0.022,0,-0.860249721,-0.978956545
0.023,0,-0.860574056,-0.976037525
0.024,0,-0.859601049,-0.975388854
0.025,0,-0.858952378,-0.977010532
0.026,0.08,-0.614403237,-1.232911
0.027,0.08,-0.613430229,-1.236155
0.028,0.08,-0.61180855,-1.238101
0.029,0.08,-0.611484214,-1.239398
0.03,0.08,-0.609538199,-1.240695
0.031,0.08,-0.609862535,-1.240047
0.032,0.08,-0.611484214,-1.239722
0.033,0.08,-0.613754565,-1.238425
0.034,0.08,-0.61570058,-1.237452
0.035,0.08,-0.616997923,-1.236803
0.036,0.08,-0.617646595,-1.235182
0.037,0.08,-0.617646595,-1.233884
0.038,0.08,-0.617970931,-1.232263
0.039,0.08,-0.618295267,-1.230317
0.04,0.08,-0.617646595,-1.228695
0.041,0.08,-0.616997923,-1.226749
0.042,0.08,-0.616349252,-1.225127
0.043,0.08,-0.61570058,-1.224478
0.044,0.08,-0.615051908,-1.226749
0.045,0.08,-0.614403237,-1.230641
0.046,0.08,-0.613430229,-1.234857
0.047,0.08,-0.612457222,-1.237452
0.048,0.08,-0.611159878,-1.239722
0.049,0.08,-0.609538199,-1.240695
0.05,0.08,-0.609538199,-1.240371
0.051,0.16,-0.377313667,-1.478433
0.052,0.16,-0.376989331,-1.479082
0.053,0.16,-0.375691987,-1.482325
0.054,0.16,-0.374718979,-1.486217
0.055,0.16,-0.374394642,-1.489785
0.056,0.16,-0.373421634,-1.492379
0.057,0.16,-0.371799954,-1.493352
0.058,0.16,-0.369853938,-1.493677
0.059,0.16,-0.37050261,-1.494325
0.06,0.16,-0.372772962,-1.493677
0.061,0.16,-0.375043315,-1.493028
0.062,0.16,-0.376989331,-1.491731
0.063,0.16,-0.377962339,-1.490758
0.064,0.16,-0.378286675,-1.48946
0.065,0.16,-0.378935347,-1.487839
0.066,0.16,-0.378935347,-1.486217
0.067,0.16,-0.378935347,-1.483947
0.068,0.16,-0.378286675,-1.482325
0.069,0.16,-0.377638003,-1.481028
0.07,0.16,-0.376989331,-1.479406
0.071,0.16,-0.376989331,-1.478757
0.072,0.16,-0.375691987,-1.482001
0.073,0.16,-0.374718979,-1.485893
0.074,0.16,-0.374070306,-1.48946
0.075,0.16,-0.373097298,-1.492379
0.076,0.24,-0.139575265,-1.747955
0.077,0.24,-0.139899602,-1.746658
0.078,0.24,-0.140223938,-1.745036
0.079,0.24,-0.139250929,-1.742442
0.08,0.24,-0.139250929,-1.741144
0.081,0.24,-0.138926593,-1.73855
0.082,0.24,-0.13827792,-1.736928
0.083,0.24,-0.137953584,-1.737901
0.084,0.24,-0.137304911,-1.741469
0.085,0.24,-0.136007566,-1.745361
0.086,0.24,-0.135358894,-1.748928
0.087,0.24,-0.134710221,-1.751523
0.088,0.24,-0.133737212,-1.752496
0.089,0.24,-0.132764204,-1.752821
0.09,0.24,-0.133412876,-1.752496
0.091,0.24,-0.135358894,-1.752496
0.092,0.24,-0.13827792,-1.75055
0.093,0.24,-0.139575265,-1.749577
0.094,0.24,-0.141196947,-1.748604
0.095,0.24,-0.141521283,-1.747307
0.096,0.24,-0.142169955,-1.745685
0.097,0.24,-0.142494292,-1.74309
0.098,0.24,-0.142494292,-1.741793
0.099,0.24,-0.142169955,-1.739523
0.1,0.24,-0.141845619,-1.737252
0.101,0.32,-0.105195619,-2.19424
0.102,0.32,-0.106168628,-2.193592
0.103,0.32,-0.1068173,-2.193592
0.104,0.32,-0.106492964,-2.19197
0.105,0.32,-0.106168628,-2.191321
0.106,0.32,-0.106168628,-2.190024
0.107,0.32,-0.105844291,-2.188727
0.108,0.32,-0.104871283,-2.187754
0.109,0.32,-0.104546946,-2.185808
0.11,0.32,-0.103249601,-2.189375
0.111,0.32,-0.103249601,-2.194565
0.112,0.32,-0.10162792,-2.198457
0.113,0.32,-0.101303583,-2.202024
0.114,0.32,-0.100006238,-2.204943
0.115,0.32,-0.098384556,-2.206241
0.116,0.32,-0.09806022,-2.207538
0.117,0.32,-0.099033229,-2.208187
0.118,0.32,-0.101303583,-2.207538
0.119,0.32,-0.103249601,-2.207538
0.12,0.32,-0.104871283,-2.207214
0.121,0.32,-0.105519955,-2.206241
0.122,0.32,-0.106492964,-2.205916
0.123,0.32,-0.106168628,-2.205268
0.124,0.32,-0.106168628,-2.204295
0.125,0.32,-0.106168628,-2.202673
0.126,0.24,-0.141521283,-1.74309
0.127,0.24,-0.140548274,-1.740496
0.128,0.24,-0.140223938,-1.739198
0.129,0.24,-0.139899602,-1.737577
0.13,0.24,-0.138926593,-1.735631
0.131,0.24,-0.138602256,-1.738225
0.132,0.24,-0.137629248,-1.742117
0.133,0.24,-0.136980575,-1.746334
0.134,0.24,-0.13568323,-1.749577
0.135,0.24,-0.134385885,-1.751523
0.136,0.24,-0.132115531,-1.752496
0.137,0.24,-0.13308854,-1.752821
0.138,0.24,-0.135034557,-1.752172
0.139,0.24,-0.136656239,-1.751523
0.14,0.24,-0.13827792,-1.750226
0.141,0.24,-0.140548274,-1.749253
0.142,0.24,-0.14087261,-1.747955
0.143,0.24,-0.142169955,-1.746334
0.144,0.24,-0.141521283,-1.745361
0.145,0.24,-0.141845619,-1.74309
0.146,0.24,-0.141521283,-1.741793
0.147,0.24,-0.140548274,-1.739847
