Time (s),Applied Torque (Nm),Load Cell 0 (V),Load Cell 1 (V)
0.001,0,-0.860249721,-0.984794585
0.002,0,-0.860574056,-0.983821578
0.003,0,-0.860249721,-0.981226894
0.004,0,-0.860249721,-0.980253887
0.005,0,-0.859276714,-0.978632209
0.006,0,-0.859601049,-0.977010532
0.007,0,-0.858952378,-0.975388854
0.008,0,-0.858303707,-0.974415847
0.009,0,-0.857655035,-0.977010532
0.01,0,-0.856682029,-0.980902558
0.011,0,-0.855709022,-0.983497242
0.012,0,-0.854736015,-0.986740598
0.013,0,-0.853438672,-0.989010946
0.014,0,-0.85214133,-0.989983953
0.015,0,-0.85214133,-0.990308289
0.016,0,-0.85214133,-0.989983953
0.017,0,-0.853438672,-0.989335282
0.018,0,-0.855384686,-0.988362275
0.019,0,-0.8573307,-0.987713604
0.02,0,-0.858628042,-0.986740598
0.021,0,-0.859276714,-0.985443256
0.022,0,-0.859601049,-0.984470249
0.023,0,-0.860249721,-0.983172907
0.024,0,-0.860249721,-0.981551229
0.025,0,-0.858952378,-0.979605216
0.026,0,-0.858628042,-0.975713189
0.027,0,-0.858303707,-0.974091512
0.028,0,-0.857979371,-0.97636186
0.029,0,-0.856682029,-0.980253887
0.03,0,-0.855709022,-0.983821578
0.031,0,-0.854736015,-0.986091927
0.032,0,-0.853438672,-0.98803794
0.033,0,-0.85214133,-0.989335282
0.034,0,-0.85214133,-0.989983953
0.035,0,-0.851816994,-0.990308289
0.036,0,-0.854087344,-0.989335282
0.037,0,-0.855709022,-0.988362275
0.038,0,-0.8573307,-0.987713604
0.039,0,-0.858628042,-0.986416262
0.04,0,-0.859601049,-0.985443256
0.041,0,-0.859601049,-0.983821578
0.042,0,-0.859276714,-0.983172907
0.043,0,-0.859925385,-0.980902558
0.044,0,-0.859276714,-0.979605216
0.045,0,-0.858628042,-0.977334867
0.046,0,-0.858628042,-0.975713189
0.047,0,-0.857979371,-0.974091512
0.048,0,-0.8573307,-0.974415847
0.049,0,-0.856682029,-0.978307874
0.05,0,-0.856033357,-0.983172907
0.051,0,-1.111934,-0.746732234
0.052,0,-1.112583,-0.745110555
0.053,0,-1.112583,-0.742840205
0.054,0,-1.112907,-0.741867198
0.055,0,-1.112907,-0.740245519
0.056,0,-1.112258,-0.738623841
0.057,0,-1.112258,-0.736677826
0.058,0,-1.110961,-0.734407476
0.059,0,-1.110637,-0.734407476
0.06,0,-1.110637,-0.735704819
0.061,0,-1.109015,-0.739272512
0.062,0,-1.108691,-0.742840205
0.063,0,-1.107718,-0.745759227
0.064,0,-1.106745,-0.747705241
0.065,0,-1.105447,-0.748678248
0.066,0,-1.104474,-0.749651255
0.067,0,-1.104799,-0.749002584
0.068,0,-1.106096,-0.748029577
0.069,0,-1.108691,-0.748029577
0.07,0,-1.110312,-0.746732234
0.071,0,-1.111285,-0.745759227
0.072,0,-1.111934,-0.744461884
0.073,0,-1.112258,-0.743164541
0.074,0,-1.112907,-0.741867198
