Time (s),Applied Torque (Nm),Load Cell 0 (V),Load Cell 1 (V)
0.001,0,-0.853438672,-0.989335282
0.002,0,-0.85506035,-0.987713604
0.003,0,-0.856033357,-0.987064933
0.004,0,-0.856357693,-0.985443256
0.005,0,-0.856357693,-0.984470249
0.006,0,-0.856682029,-0.981875565
0.007,0,-0.856033357,-0.980253887
0.008,0,-0.856357693,-0.977983538
0.009,0,-0.856033357,-0.975713189
0.01,0,-0.85506035,-0.974740183
0.011,0,-0.853763008,-0.97636186
0.012,0,-0.853114337,-0.980253887
0.013,0,-0.852465665,-0.984794585
0.014,0,-0.851168323,-0.987713604
0.015,0,-0.84987098,-0.989983953
0.016,0,-0.848897973,-0.991281295
0.017,0,-0.848249302,-0.991605631
0.018,0,-0.849546645,-0.991281295
0.019,0,-0.851492658,-0.990632624
0.02,0,-0.853763008,-0.989010946
0.021,0,-0.855384686,-0.988362275
0.022,0,-0.857006364,-0.987064933
0.023,0,-0.857655035,-0.98511892
0.024,0,-0.857655035,-0.983821578
0.025,0,-0.857655035,-0.981875565
0.026,0.08,-1.100258,-0.742191534
0.027,0.08,-1.10188,-0.741542862
0.028,0.08,-1.103501,-0.740245519
0.029,0.08,-1.105447,-0.739921184
0.03,0.08,-1.107069,-0.738623841
0.031,0.08,-1.107718,-0.737650833
0.032,0.08,-1.108366,-0.736029155
0.033,0.08,-1.108366,-0.734731812
0.034,0.08,-1.107718,-0.732461462
0.035,0.08,-1.107069,-0.730515447
0.036,0.08,-1.106745,-0.728569433
0.037,0.08,-1.10642,-0.725974747
0.038,0.08,-1.105447,-0.72727209
0.039,0.08,-1.104799,-0.731488455
0.04,0.08,-1.103826,-0.735380483
0.041,0.08,-1.103177,-0.738948176
0.042,0.08,-1.101555,-0.741867198
0.043,0.08,-1.100258,-0.742515869
0.044,0.08,-1.099609,-0.743164541
0.045,0.08,-1.100258,-0.743164541
0.046,0.08,-1.102853,-0.741867198
0.047,0.08,-1.104799,-0.741218526
0.048,0.08,-1.106745,-0.740894191
0.049,0.08,-1.107393,-0.739596848
0.05,0.08,-1.107718,-0.737650833
0.051,0.16,-1.352591,-0.495047631
0.052,0.16,-1.350969,-0.497642319
0.053,0.16,-1.350321,-0.498615326
0.054,0.16,-1.348699,-0.498939662
0.055,0.16,-1.349996,-0.49829099
0.056,0.16,-1.352591,-0.497642319
0.057,0.16,-1.354537,-0.496344975
0.058,0.16,-1.35551,-0.495371967
0.059,0.16,-1.356807,-0.494074623
0.06,0.16,-1.358429,-0.493425951
0.061,0.16,-1.35778,-0.4911556
0.062,0.16,-1.357132,-0.489209584
0.063,0.16,-1.357132,-0.487587905
0.064,0.16,-1.356159,-0.485641889
0.065,0.16,-1.356159,-0.482722865
0.066,0.16,-1.355834,-0.482398529
0.067,0.16,-1.354861,-0.485641889
0.068,0.16,-1.353888,-0.489858256
0.069,0.16,-1.352915,-0.493425951
0.07,0.16,-1.351618,-0.496344975
0.071,0.16,-1.350645,-0.497642319
0.072,0.16,-1.349672,-0.498939662
0.073,0.16,-1.349348,-0.498939662
0.074,0.16,-1.351294,-0.497966655
0.075,0.16,-1.35324,-0.497642319
0.076,0.24,-1.614978,-0.250498251
0.077,0.24,-1.614654,-0.249200906
0.078,0.24,-1.614005,-0.246930553
0.079,0.24,-1.613356,-0.246606217
0.08,0.24,-1.612059,-0.249849579
0.081,0.24,-1.611735,-0.253417276
0.082,0.24,-1.610113,-0.256660638
0.083,0.24,-1.60914,-0.259579663
0.084,0.24,-1.608167,-0.261201344
0.085,0.24,-1.60687,-0.26152568
0.086,0.24,-1.60687,-0.261850016
0.087,0.24,-1.60914,-0.261201344
0.088,0.24,-1.611086,-0.260552672
0.089,0.24,-1.612708,-0.259579663
0.09,0.24,-1.614329,-0.258282319
0.091,0.24,-1.614978,-0.256984974
0.092,0.24,-1.615302,-0.255038957
0.093,0.24,-1.615302,-0.253417276
0.094,0.24,-1.614978,-0.251795596
0.095,0.24,-1.614005,-0.249525242
0.096,0.24,-1.613681,-0.247579225
0.097,0.24,-1.612708,-0.245957545
0.098,0.24,-1.612708,-0.247579225
0.099,0.24,-1.61141,-0.251471259
0.1,0.24,-1.610437,-0.255687629
0.101,0.32,-2.114454,-0.251471259
0.102,0.32,-2.114454,-0.255687629
0.103,0.32,-2.112832,-0.258930991
0.104,0.32,-2.112184,-0.26152568
0.105,0.32,-2.110238,-0.262498689
0.106,0.32,-2.110238,-0.262174353
0.107,0.32,-2.111859,-0.262174353
0.108,0.32,-2.114778,-0.26152568
0.109,0.32,-2.1164,-0.260228336
0.11,0.32,-2.11867,-0.259255327
0.111,0.32,-2.119643,-0.257957983
0.112,0.32,-2.119643,-0.256660638
0.113,0.32,-2.119643,-0.254390285
0.114,0.32,-2.119968,-0.252444268
0.115,0.32,-2.119319,-0.250822587
0.116,0.32,-2.118995,-0.24887657
0.117,0.32,-2.11867,-0.247254889
0.118,0.32,-2.117697,-0.246606217
0.119,0.32,-2.117049,-0.250173915
0.12,0.32,-2.116076,-0.254714621
0.121,0.32,-2.114454,-0.256984974
0.122,0.32,-2.113805,-0.260228336
0.123,0.32,-2.112508,-0.26152568
0.124,0.32,-2.111535,-0.261850016
0.125,0.32,-2.112184,-0.262174353
0.126,0.24,-1.608167,-0.261201344
0.127,0.24,-1.607194,-0.262174353
0.128,0.24,-1.606221,-0.262498689
0.129,0.24,-1.608167,-0.261850016
0.13,0.24,-1.611086,-0.260877008
0.131,0.24,-1.612708,-0.259904
0.132,0.24,-1.613681,-0.258606655
0.133,0.24,-1.614654,-0.257957983
0.134,0.24,-1.615627,-0.256336302
0.135,0.24,-1.615302,-0.254065949
0.136,0.24,-1.615302,-0.252444268
0.137,0.24,-1.614978,-0.250498251
0.138,0.24,-1.614329,-0.248552234
0.139,0.24,-1.613681,-0.246281881
0.14,0.24,-1.613032,-0.246930553
0.141,0.24,-1.612059,-0.251146923
0.142,0.24,-1.611086,-0.255363293
0.143,0.24,-1.609464,-0.257957983
0.144,0.24,-1.60914,-0.260552672
0.145,0.24,-1.608491,-0.260877008
0.146,0.24,-1.606545,-0.261850016
0.147,0.24,-1.608167,-0.26152568
0.148,0.24,-1.609464,-0.260552672
0.149,0.24,-1.612383,-0.259904
0.15,0.24,-1.613681,-0.258282319
0.151,0.16,-1.346753,-0.496993647
0.152,0.16,-1.349348,-0.495371967
0.153,0.16,-1.351294,-0.494398959
0.154,0.16,-1.352915,-0.493425951
0.155,0.16,-1.353888,-0.492128608
0.156,0.16,-1.354537,-0.490182592
0.157,0.16,-1.354537,-0.488885248
0.158,0.16,-1.354537,-0.487587905
0.159,0.16,-1.354213,-0.484993217
0.16,0.16,-1.353564,-0.482398529
0.161,0.16,-1.352915,-0.481749857
0.162,0.16,-1.352267,-0.480452514
0.163,0.16,-1.351618,-0.484668881
0.164,0.16,-1.350645,-0.488236576
0.165,0.16,-1.349672,-0.491804272
0.166,0.16,-1.34805,-0.494074623
0.167,0.16,-1.347077,-0.496020639
0.168,0.16,-1.345456,-0.496020639
0.169,0.16,-1.346753,-0.496020639
0.17,0.16,-1.348699,-0.494074623
0.171,0.16,-1.350969,-0.494074623
0.172,0.16,-1.352267,-0.492452944
0.173,0.16,-1.353888,-0.491804272
0.174,0.16,-1.354213,-0.48953392
0.175,0.16,-1.354537,-0.488885248
0.176,0.08,-1.100258,-0.739596848
0.177,0.08,-1.10188,-0.738948176
0.178,0.08,-1.103826,-0.737975169
0.179,0.08,-1.105123,-0.73635349
0.18,0.08,-1.105772,-0.734731812
0.181,0.08,-1.105123,-0.733758805
0.182,0.08,-1.105123,-0.73181279
0.183,0.08,-1.104474,-0.72954244
0.184,0.08,-1.104474,-0.72727209
0.185,0.08,-1.103177,-0.725326075
0.186,0.08,-1.103177,-0.725326075
0.187,0.08,-1.101555,-0.729218104
0.188,0.08,-1.100907,-0.733434469
0.189,0.08,-1.100582,-0.737002162
0.19,0.08,-1.098961,-0.740245519
0.191,0.08,-1.097663,-0.740894191
0.192,0.08,-1.09669,-0.741867198
0.193,0.08,-1.097663,-0.741542862
0.194,0.08,-1.099934,-0.740569855
0.195,0.08,-1.102204,-0.739596848
0.196,0.08,-1.10415,-0.738948176
0.197,0.08,-1.105123,-0.737650833
0.198,0.08,-1.105447,-0.736677826
0.199,0.08,-1.105772,-0.734731812
0.2,0.08,-1.105772,-0.732785797
0.201,0,-0.8573307,-0.977983538
0.202,0,-0.856033357,-0.976037525
0.203,0,-0.856357693,-0.973767176
0.204,0,-0.855709022,-0.972145498
0.205,0,-0.855384686,-0.971496827
0.206,0,-0.854087344,-0.974740183
0.207,0,-0.853763008,-0.97928088
0.208,0,-0.85214133,-0.981875565
0.209,0,-0.850843987,-0.985443256
0.21,0,-0.84987098,-0.986740598
0.211,0,-0.848573638,-0.98803794
0.212,0,-0.849222309,-0.987389269
0.213,0,-0.851816994,-0.987389269
0.214,0,-0.853438672,-0.986091927
0.215,0,-0.856033357,-0.985443256
0.216,0,-0.856357693,-0.984145913
0.217,0,-0.8573307,-0.981875565
0.218,0,-0.857979371,-0.980578223
0.219,0,-0.8573307,-0.978632209
0.22,0,-0.8573307,-0.977010532
0.221,0,-0.856682029,-0.975388854
0.222,0,-0.855709022,-0.974091512
0.223,0,-0.855384686,-0.971172492
0.224,0,-0.85506035,-0.974091512
0.225,0,-0.854087344,-0.978307874
