Time (s),Motor Speed (RPM),Load Cell 1,Load Cell 2
0.033,50,-0.983821578,-1.188802
0.066,50,-0.941333621,-1.201451
0.099,50,-1.001011,-1.220262
0.132,50,-0.986740598,-1.204694
0.165,50,-0.956901728,-1.203072
0.198,50,-0.967280465,-1.172585
0.231,50,-0.983172907,-1.23583
0.264,50,-0.953334036,-1.212802
0.297,50,-0.960469419,-1.188153
0.33,50,-1.00166,-1.186856
0.363,50,-0.98803794,-1.234533
0.396,50,-0.950090681,-1.206964
0.429,50,-0.96403711,-1.180693
0.462,50,-0.987713604,-1.23583
0.495,50,-0.965983123,-1.221235
0.528,50,-0.973767176,-1.184261
0.561,50,-0.942630963,-1.20437
0.594,50,-0.997768006,-1.217667
0.627,50,-0.953658372,-1.190423
0.66,50,-0.956901728,-1.193018
0.693,50,-0.962739768,-1.220586
0.726,50,-0.978632209,-1.206964
0.759,50,-0.953334036,-1.208586
0.792,50,-0.984470249,-1.172585
0.825,50,-1.013336,-1.219613
0.858,50,-1.002633,-1.19464
0.891,50,-0.994848986,-1.16999
0.924,50,-0.955928721,-1.229668
0.957,50,-1.007174,-1.219289
0.99,50,-0.976037525,-1.198856
1.023,50,-0.967280465,-1.201451
1.056,50,-0.997768006,-1.214748
1.089,50,-0.978307874,-1.233236
1.122,50,-0.971172492,-1.184261
1.155,50,-0.942955298,-1.195937
1.188,50,-1.009768,-1.210208
1.221,50,-0.970848156,-1.191721
1.254,50,-0.959820748,-1.195937
1.287,50,-0.974415847,-1.230317
1.32,50,-1.019823,-1.221235
1.353,50,-0.936792923,-1.208586
1.386,50,-0.970523821,-1.154098
1.419,50,-0.981551229,-1.244587
1.452,50,-0.959820748,-1.230965
1.485,50,-0.953982708,-1.195937
1.518,50,-0.953334036,-1.16999
1.551,50,-1.005552,-1.229992
1.584,50,-0.959172076,-1.224154
1.617,50,-0.980902558,-1.168044
1.65,50,-0.96987515,-1.232587
1.683,50,-1.002309,-1.228046
1.716,50,-0.96987515,-1.191396
1.749,50,-0.968902143,-1.155071
1.782,50,-0.987064933,-1.224154
1.815,50,-0.970848156,-1.201775
1.848,50,-0.971821163,-1.174855
1.881,50,-0.991605631,-1.15053
1.914,50,-1.006849,-1.208262
1.947,50,-0.958847741,-1.127178
1.98,50,-0.968902143,-1.125556
2.013,50,-0.997119335,-1.176477
2.046,50,-0.991605631,-1.201775
2.079,50,-0.990632624,-1.149557
2.112,50,-0.967604801,-1.160584
2.145,50,-1.008147,-1.203721
2.178,50,-0.984794585,-1.155071
2.211,50,-0.979929551,-1.182639
2.244,50,-0.984145913,-1.146638
2.277,50,-1.006525,-1.227397
2.31,50,-0.985443256,-1.154422
2.343,50,-1.010093,-1.142097
2.376,50,-0.992254302,-1.202424
2.409,50,-0.992254302,-1.203721
2.442,50,-0.968577807,-1.182315
2.475,50,-0.95819907,-1.16253
2.508,50,-0.98803794,-1.24329
2.541,50,-0.981226894,-1.178099
2.574,50,-0.931927889,-1.233236
2.607,50,-0.953658372,-1.221884
2.64,50,-0.992254302,-1.260155
2.673,50,-0.928360198,-1.240047
2.706,50,-0.950415016,-1.193991
2.739,50,-0.957550399,-1.264372
2.772,50,-0.977010532,-1.238101
2.805,50,-0.960793754,-1.203072
2.838,50,-0.941657956,-1.198207
2.871,50,-1.00393,-1.237128
2.904,50,-0.92673852,-1.27021
2.937,50,-0.95819907,-1.205343
2.97,50,-0.989010946,-1.210856
3.003,50,-0.997119335,-1.230641
3.036,50,-0.953982708,-1.219938
3.069,50,-0.94944201,-1.184585
3.102,50,-1.000038,-1.227073
3.135,50,-0.974415847,-1.218316
3.168,50,-0.951712359,-1.203397
3.201,50,-0.990308289,-1.165449
3.234,50,-0.97636186,-1.252696
3.267,50,-0.955928721,-1.215397
3.3,50,-0.965658787,-1.193018
3.333,50,-0.968902143,-1.217343
3.366,50,-1.005552,-1.188802
3.399,50,-0.949766345,-1.200478
3.432,50,-0.985767591,-1.156044
3.465,50,-0.965010116,-1.276048
3.498,50,-0.986416262,-1.197559
3.531,50,-0.957226063,-1.214748
3.564,50,-0.955604385,-1.182639
3.597,50,-1.017877,-1.221884
3.63,50,-0.978307874,-1.195613
3.663,50,-0.960469419,-1.193342
3.696,50,-0.981226894,-1.230965
3.729,50,-0.976037525,-1.222208
3.762,50,-0.966631794,-1.205991
3.795,50,-0.946847325,-1.18491
3.828,50,-1.001336,-1.221884
3.861,50,-0.979929551,-1.219289
3.894,50,-0.977010532,-1.179072
3.927,50,-0.974091512,-1.198532
3.96,50,-1.006201,-1.245236
3.993,50,-0.97279417,-1.17972
4.026,50,-0.933225231,-1.199505
4.059,50,-1.014633,-1.206964
4.092,50,-0.979605216,-1.222857
4.125,50,-0.963712774,-1.201451
4.158,50,-0.975388854,-1.183612
4.191,50,-1.015931,-1.21864
4.224,50,-0.992902973,-1.193667
4.257,50,-0.963712774,-1.201775
4.29,50,-1.000363,-1.185883
4.323,50,-0.974415847,-1.249777
4.356,50,-0.965983123,-1.165774
4.389,50,-0.952036694,-1.183937
4.422,50,-0.99452465,-1.219613
4.455,50,-0.987713604,-1.192369
4.488,50,-0.965983123,-1.197559
4.521,50,-1.010741,-1.127502
4.554,50,-0.991929966,-1.237776
4.587,50,-0.989010946,-1.203072
4.62,50,-0.95528005,-1.210208
4.653,50,-0.98511892,-1.220911
4.686,50,-0.991281295,-1.252371
4.719,50,-0.956901728,-1.20664
4.752,50,-0.971496827,-1.16253
4.785,50,-0.98511892,-1.255615
4.818,50,-0.966631794,-1.219938
4.851,50,-0.974415847,-1.201775
4.884,50,-0.960469419,-1.214424
4.917,50,-1.004255,-1.247506
4.95,50,-0.985767591,-1.214424
4.983,50,-0.976037525,-1.205018
5.016,50,-0.981551229,-1.21864
5.049,50,-1.010417,-1.214748
5.082,50,-0.956253056,-1.186856
5.115,50,-0.95819907,-1.187829
5.148,50,-0.988686611,-1.24102
5.181,50,-1.000363,-1.165125
5.214,50,-0.928684533,-1.228046
5.247,50,-0.978632209,-1.194315
5.28,50,-0.983172907,-1.260155
5.313,50,-0.985767591,-1.191072
5.346,50,-0.92965754,-1.198532
5.379,50,-1.005228,-1.20664
5.412,50,-0.993875979,-1.186856
5.445,50,-0.97928088,-1.174855
5.478,50,-0.943928305,-1.190748
5.511,50,-0.995821993,-1.243939
5.544,50,-0.968902143,-1.202099
5.577,50,-0.975713189,-1.187829
5.61,50,-0.984145913,-1.221235
5.643,50,-1.001336,-1.238425
5.676,50,-0.997119335,-1.192369
5.709,50,-0.952685365,-1.200153
5.742,50,-1.006849,-1.2261
5.775,50,-0.95819907,-1.246209
5.808,50,-0.984794585,-1.181666
5.841,50,-0.952685365,-1.190099
5.874,50,-0.99452465,-1.242641
5.907,50,-0.985767591,-1.204045
5.94,50,-0.96695613,-1.200478
5.973,50,-1.001011,-1.20891
6.006,50,-1.015606,-1.2261
6.039,50,-0.974740183,-1.193342
6.072,50,-0.960469419,-1.186531
6.105,50,-0.996146328,-1.221884
6.138,50,-0.973767176,-1.209235
6.171,50,-0.951388023,-1.201451
6.204,50,-0.963712774,-1.177126
6.237,50,-0.996794999,-1.24329
6.27,50,-0.970523821,-1.197234
6.303,50,-0.972145498,-1.189126
6.336,50,-0.969226479,-1.231938
6.369,50,-0.975713189,-1.231938
6.402,50,-0.953982708,-1.190423
6.435,50,-0.989659618,-1.168693
