Position (Counts),Potentiometer  (Volts),LVDT  (Volts)
152,7.8412,9.572
299,7.4809,8.8762
450,7.1153,8.1526
601,6.7524,7.4306
751,6.3933,6.7352
902,6.021,6.0135
1050,5.6502,5.2678
1201,5.2792,4.5478
1350,4.9305,3.8358
1502,4.5387,3.1294
1500,4.5465,3.1307
1348,4.9192,3.8686
1200,5.2831,4.5724
1048,5.6629,5.3035
901,6.0255,6.0038
748,6.3982,6.7485
600,6.752,7.4484
449,7.1182,8.1727
301,7.474,8.8633
148,7.8496,9.5431
150,7.8458,9.5379
300,7.4786,8.8798
449,7.1176,8.1746
601,6.7514,7.4458
749,6.3894,6.7319
902,6.0177,6.0096
1050,5.658,5.2643
1202,5.2814,4.54
1350,4.9159,3.8391
1502,4.5403,3.1174
1500,4.5452,3.12
1349,4.9169,3.8475
1199,5.2879,4.5763
1048,5.6655,5.2993
900,6.0232,6.009
748,6.3969,6.7501
600,6.7517,7.4478
449,7.116,8.1665
301,7.477,8.8694
148,7.849,9.5768
150,7.8435,9.5476
300,7.4779,8.9009
450,7.115,8.1815
600,6.7543,7.453
752,6.3878,6.7209
901,6.0216,5.9872
1051,5.6567,5.2691
1202,5.2834,4.5698
1350,4.9159,3.8543
1502,4.5419,3.1398
1501,4.5452,3.0733
1351,4.9159,3.8689
1198,5.2899,4.5909
1048,5.6645,5.2814
900,6.0261,6.0034
748,6.3975,6.7543
602,6.752,7.4397
449,7.1176,8.1652
301,7.4744,8.8516
149,7.8464,9.5687
149,7.8441,9.572
300,7.4835,8.8791
449,7.1153,8.1575
601,6.7498,7.3946
750,6.393,6.7319
902,6.0213,6.0028
1052,5.6548,5.2873
1202,5.2805,4.5556
1350,4.9156,3.8362
1502,4.5403,3.1155
1500,4.5452,3.1119
1348,4.9188,3.8634
1200,5.2873,4.5757
1048,5.6635,5.2831
899,6.0265,5.9992
748,6.3959,6.7563
601,6.7514,7.4377
449,7.1176,8.1798
301,7.4705,8.8736
148,7.8487,9.5924
149,7.8415,9.559
300,7.474,8.8931
449,7.1127,8.151
601,6.7504,7.4494
750,6.3927,6.743
901,6.0203,5.9882
1050,5.6593,5.2844
1202,5.2795,4.5672
1350,4.9153,3.8349
1501,4.5449,3.1197
1501,4.5465,3.1184
1350,4.9159,3.8634
1199,5.285,4.5702
1048,5.6648,5.298
900,6.0249,6.0226
749,6.394,6.7481
600,6.7498,7.4552
449,7.1153,8.175
300,7.4835,8.8697
148,7.8487,9.5992
