Time (s),LVDT (V),Potentiometer (V),Accelerometer (V),Tachometer (V)
.005,8.5444,7.2986,3.0938,.0047
.01,8.546,7.2979,3.4573,.0044
.015,8.5499,7.2969,3.7415,.0042
.02,8.5386,7.3135,3.9607,.0046
.025,8.5386,7.2982,4.1235,.0047
.03,8.5415,7.2979,4.2452,.0057
.035,8.5392,7.2979,4.325,.0097
.04,8.5376,7.2982,4.385,.0178
.045,8.5272,7.2973,4.4398,.0201
.05,8.5318,7.2969,4.4793,.0314
.055,8.5168,7.294,4.5468,.0535
.06,8.5178,7.2934,4.6019,.0764
.065,8.5104,7.2898,4.6519,.0999
.07,8.5,7.2853,4.7028,.1237
.075,8.511,7.2798,4.7408,.1572
.08,8.4734,7.2733,4.769,.1937
.085,8.4666,7.2678,4.7719,.2115
.09,8.4371,7.2561,4.7774,.2379
.095,8.4095,7.246,4.77,.2741
.1,8.3894,7.2344,4.7158,.2969
.105,8.3654,7.222,4.6989,.3173
.11,8.3488,7.2091,4.6837,.34
.115,8.3183,7.1958,4.5475,.3368
.12,8.2966,7.186,4.43,.3253
.125,8.2778,7.1682,4.3383,.3339
.13,8.2629,7.1555,4.3123,.3282
.135,8.2327,7.1442,4.229,.2821
.14,8.223,7.1325,4.0778,.2294
.145,8.2077,7.1241,3.9967,.2145
.15,8.1808,7.116,3.7298,.1958
.155,8.1708,7.1059,3.5793,.2016
.16,8.1513,7.1017,3.4376,.2152
.165,8.1338,7.0949,3.3059,.2111
.17,8.115,7.0855,3.2462,.2173
.175,8.101,7.0777,3.3276,.2489
.18,8.089,7.0673,3.3565,.2884
.185,8.0598,7.0563,3.2624,.3
.19,8.0352,7.0443,3.2031,.3206
.195,8.0001,7.0323,3.0561,.3151
.2,7.9755,7.0193,3.0587,.3169
.205,7.9476,7.0076,3.0218,.319
.21,7.9242,6.9953,3.0704,.3146
.215,7.9846,6.9846,2.8774,.285
.22,7.898,6.9697,2.8443,.2492
.225,7.8785,6.9632,2.8901,.2408
.23,7.9217,6.9538,2.9128,.2285
.235,7.8373,6.9463,2.9754,.2191
.24,7.8156,6.9369,2.9416,.206
.245,7.8007,6.9291,2.978,.1979
.25,7.7922,6.9226,3.0068,.1869
.255,7.7809,6.9094,3.2738,.2175
.26,7.7715,6.9051,3.36,.2497
.265,7.7452,6.8951,3.1817,.2487
.27,7.7293,6.8876,3.0925,.2558
