Time (s),Accelerometer (V),LED Sensor (V),Voice Coil Voltage (V),Voice Coil Current (V)
0.005,3.561824,2.620823,0.398984265,2.032009
0.01,3.560525,2.62277,0.39995804,2.031685
0.015,3.571237,2.621797,0.398335082,2.032334
0.02,3.56085,2.622121,0.39995804,2.032009
0.025,3.557279,2.62277,0.399633449,2.032009
0.03,3.570263,2.622446,0.398984265,2.032334
0.035,3.556955,2.621472,0.400282632,2.032009
0.04,3.562473,2.622121,0.398335082,2.032009
0.045,3.567017,2.621797,0.400282632,2.032009
0.05,3.562473,2.621472,0.399633449,2.031685
0.055,3.561174,2.622446,0.398984265,2.032009
0.06,3.564745,2.622121,0.400282632,2.032009
0.065,3.55663,2.621797,0.398659673,2.032009
0.07,3.555981,2.621147,0.39995804,2.032009
0.075,3.559227,2.621797,0.399308857,2.032009
0.08,3.565719,2.621797,0.398984265,2.031685
0.085,3.554682,2.621472,0.400282632,2.032334
0.09,3.569614,2.621147,0.398335082,2.032009
0.095,3.561499,2.621472,0.399633449,2.032009
0.1,3.573834,2.621797,0.399308857,2.032009
0.105,3.557279,2.621147,0.399308857,2.031685
0.11,3.56864,2.622121,0.400282632,2.031685
0.115,3.55663,2.622446,0.398659673,2.032334
0.12,3.571561,2.621472,0.39995804,2.032334
0.125,3.569289,2.621797,0.399308857,2.032009
0.13,3.563447,2.621472,0.399308857,2.032009
0.135,3.568965,2.621797,0.400607224,2.031685
0.14,3.55663,2.621147,0.398659673,2.03136
0.145,3.571237,2.621472,0.39995804,2.032334
0.15,3.568965,2.621472,0.399633449,2.032009
0.155,3.559227,2.621472,0.398984265,2.032009
0.16,3.569938,2.622121,0.400607224,2.032009
0.165,3.573184,2.622121,0.398984265,2.032334
0.17,3.570588,2.621472,0.400282632,2.032009
0.175,3.563771,2.621147,0.398984265,2.031685
0.18,3.574483,2.620823,0.398984265,2.032334
0.185,3.565719,2.620823,0.400607224,2.032334
0.19,3.559876,2.622121,0.398659673,2.032009
0.195,3.561499,2.621147,0.400282632,2.032334
0.2,3.564745,2.621797,0.39995804,2.031685
0.205,3.56507,2.621147,0.398984265,2.032009
0.21,3.56507,2.622121,0.400282632,2.032009
0.215,3.573834,2.621147,0.398335082,2.032334
0.22,3.566368,2.621147,0.400282632,2.032009
0.225,3.56864,2.620823,0.399633449,2.032334
0.23,3.565394,2.621797,0.398984265,2.032009
0.235,3.570263,2.621147,0.400607224,2.032009
0.24,3.555656,2.621472,0.398659673,2.032009
0.245,3.563447,2.621472,0.400282632,2.032009
0.25,3.55663,2.621472,0.399308857,2.031685
0.255,3.566043,2.621472,0.398659673,2.032009
0.26,3.572211,2.621472,0.400607224,2.032009
0.265,3.561824,2.621472,0.398335082,2.032009
0.27,3.555007,2.620823,0.399633449,2.032009
