Time (s),Accelerometer (V),LED Sensor (V),Voice Coil Voltage (V),Voice Coil Current (V)
0.005,3.556305,2.265392,0.436636908,4.076308
0.01,3.561824,2.264743,0.435663133,4.076633
0.015,3.571237,2.265068,0.437610684,4.076633
0.02,3.570588,2.265068,0.435013949,4.076308
0.025,3.562473,2.265392,0.435987725,4.076633
0.03,3.557604,2.265068,0.436636908,4.076633
0.035,3.571561,2.265392,0.435338541,4.076633
0.04,3.564096,2.264743,0.437286092,4.076633
0.045,3.565719,2.264743,0.435338541,4.076308
0.05,3.563771,2.265392,0.436312317,4.076633
0.055,3.56507,2.264419,0.437286092,4.076633
0.06,3.566368,2.265392,0.435663133,4.076633
0.065,3.558578,2.264743,0.437610684,4.076958
0.07,3.563447,2.264419,0.435338541,4.076633
0.075,3.555007,2.265392,0.436312317,4.076633
0.08,3.56085,2.265392,0.436636908,4.076633
0.085,3.556955,2.265717,0.435663133,4.076633
0.09,3.559551,2.264743,0.437286092,4.076633
0.095,3.568315,2.264743,0.435338541,4.076958
0.1,3.574807,2.265068,0.436312317,4.076308
0.105,3.561499,2.265717,0.436312317,4.076308
0.11,3.56507,2.265392,0.435338541,4.076633
0.115,3.555332,2.265392,0.437286092,4.076633
0.12,3.564745,2.265068,0.435338541,4.076633
0.125,3.567991,2.264743,0.436312317,4.076633
0.13,3.563122,2.265392,0.436636908,4.076633
0.135,3.557928,2.265068,0.435338541,4.076308
0.14,3.567342,2.266041,0.437286092,4.076633
0.145,3.563447,2.265717,0.435338541,4.076633
0.15,3.559227,2.264743,0.436312317,4.076958
0.155,3.559551,2.265717,0.436636908,4.076633
0.16,3.565719,2.264743,0.435338541,4.076958
0.165,3.562473,2.265068,0.437286092,4.076633
0.17,3.561499,2.264743,0.435338541,4.076633
0.175,3.563771,2.266366,0.435987725,4.076633
0.18,3.558578,2.265068,0.436312317,4.076308
0.185,3.564745,2.266041,0.435338541,4.076633
0.19,3.561499,2.264743,0.437286092,4.076633
0.195,3.559876,2.265392,0.435013949,4.076958
0.2,3.56442,2.264094,0.435987725,4.076958
0.205,3.564745,2.265392,0.436312317,4.076633
0.21,3.565719,2.265392,0.434689358,4.076308
0.215,3.566368,2.265717,0.436636908,4.076633
0.22,3.566043,2.266041,0.435338541,4.076633
0.225,3.567017,2.265717,0.435987725,4.076633
