Time (s),Accelerometer (V),LED Sensor (V),Voice Coil Voltage (V),Voice Coil Current (V)
0.005,3.567991,3.603696,0.304528083,0.0354417
0.01,3.558902,3.603696,0.306151041,0.035766292
0.015,3.562148,3.602398,0.304203491,0.036090883
0.02,3.565719,3.602073,0.305177266,0.036090883
0.025,3.56442,3.601749,0.305501858,0.035117109
0.03,3.559227,3.602398,0.304203491,0.0354417
0.035,3.561174,3.602398,0.306475633,0.034792517
0.04,3.56085,3.602723,0.304203491,0.034792517
0.045,3.571237,3.602073,0.305501858,0.034467926
0.05,3.568315,3.602398,0.30582645,0.034467926
0.055,3.569289,3.602398,0.304852675,0.034467926
0.06,3.563122,3.602073,0.306151041,0.034467926
0.065,3.568965,3.602723,0.304852675,0.0354417
0.07,3.56507,3.603047,0.305177266,0.035766292
0.075,3.560201,3.602073,0.30582645,0.036090883
0.08,3.564745,3.602073,0.304852675,0.036415475
0.085,3.562473,3.602398,0.30582645,0.035766292
0.09,3.551437,3.601424,0.304203491,0.0354417
0.095,3.559227,3.601424,0.30582645,0.034792517
0.1,3.559551,3.602073,0.305177266,0.034467926
0.105,3.556955,3.603047,0.304203491,0.034143335
0.11,3.560525,3.602073,0.306475633,0.035117109
0.115,3.560201,3.603047,0.304528083,0.035117109
0.12,3.569938,3.603047,0.304852675,0.0354417
0.125,3.566368,3.603372,0.305501858,0.0354417
0.13,3.564096,3.602073,0.304528083,0.036090883
0.135,3.551112,3.601424,0.30582645,0.035766292
0.14,3.561824,3.602073,0.304203491,0.035766292
0.145,3.561499,3.602398,0.305177266,0.035117109
0.15,3.559551,3.602398,0.305177266,0.034792517
0.155,3.566693,3.602398,0.304203491,0.034467926
0.16,3.56507,3.603047,0.305501858,0.034467926
0.165,3.559876,3.603696,0.3038789,0.035117109
0.17,3.570912,3.602723,0.304852675,0.0354417
0.175,3.573834,3.603047,0.304852675,0.035766292
0.18,3.572211,3.602723,0.303554308,0.0354417
0.185,3.558578,3.602398,0.305177266,0.0354417
0.19,3.567666,3.602723,0.303229716,0.035117109
0.195,3.561499,3.601749,0.304528083,0.035117109
0.2,3.57286,3.603372,0.304528083,0.035117109
0.205,3.559227,3.602723,0.303229716,0.035117109
0.21,3.56507,3.602398,0.305177266,0.035117109
0.215,3.559551,3.603372,0.303554308,0.035117109
0.22,3.556955,3.602723,0.304203491,0.0354417
0.225,3.563122,3.603047,0.304203491,0.0354417
0.23,3.56085,3.603372,0.303229716,0.035117109
0.235,3.561499,3.602398,0.304852675,0.035117109
0.24,3.56507,3.602398,0.302905125,0.0354417
0.245,3.566368,3.602073,0.3038789,0.035117109
0.25,3.565394,3.603047,0.304203491,0.034792517
0.255,3.563122,3.603047,0.303229716,0.034792517
0.26,3.562473,3.603047,0.304852675,0.035117109
0.265,3.567017,3.603696,0.302580533,0.035766292
0.27,3.56864,3.603047,0.3038789,0.0354417
0.275,3.565719,3.602073,0.3038789,0.035117109
0.28,3.56864,3.602723,0.302580533,0.034467926
0.285,3.566368,3.603047,0.304528083,0.034143335
0.29,3.567991,3.603372,0.302905125,0.034792517
0.295,3.56864,3.603372,0.3038789,0.035117109
0.3,3.564096,3.603372,0.3038789,0.036415475
0.305,3.553384,3.602073,0.302905125,0.036740066
0.31,3.557928,3.601749,0.304528083,0.036090883
0.315,3.555332,3.601749,0.302255941,0.035117109
0.32,3.555656,3.601424,0.303554308,0.034143335
0.325,3.570263,3.601749,0.3038789,0.033494152
0.33,3.563447,3.602073,0.302580533,0.033494152
0.335,3.563122,3.603047,0.304203491,0.033818743
0.34,3.562148,3.604346,0.302255941,0.034792517
0.345,3.571237,3.603372,0.303554308,0.036415475
0.35,3.560201,3.602398,0.3038789,0.036740066
0.355,3.56085,3.602073,0.302255941,0.036740066
0.36,3.555007,3.601424,0.304203491,0.036090883
0.365,3.562797,3.6011,0.302255941,0.035117109
0.37,3.557279,3.60045,0.303229716,0.034467926
0.375,3.558578,3.601749,0.3038789,0.03316956
0.38,3.565394,3.602398,0.302255941,0.033494152
0.385,3.565394,3.602723,0.304203491,0.033818743
0.39,3.566043,3.603372,0.302255941,0.034792517
0.395,3.570912,3.603372,0.302905125,0.035117109
0.4,3.567342,3.602398,0.302905125,0.036090883
0.405,3.557279,3.602723,0.302255941,0.035766292
0.41,3.565394,3.601424,0.304203491,0.036090883
0.415,3.555656,3.602073,0.301606758,0.0354417
0.42,3.558902,3.602073,0.302905125,0.035117109
0.425,3.562473,3.601424,0.302905125,0.035117109
0.43,3.56085,3.602073,0.302580533,0.034467926
0.435,3.565394,3.603696,0.304203491,0.034143335
0.44,3.567017,3.602723,0.301606758,0.034143335
0.445,3.567017,3.603047,0.302905125,0.034467926
0.45,3.564745,3.603372,0.302905125,0.034792517
0.455,3.567666,3.603372,0.301606758,0.0354417
0.46,3.566693,3.603372,0.303554308,0.035766292
0.465,3.566368,3.602723,0.30193135,0.036090883
0.47,3.565394,3.602398,0.302255941,0.035766292
0.475,3.555007,3.601749,0.303229716,0.0354417
0.48,3.554358,3.601749,0.302255941,0.035117109
0.485,3.56085,3.602398,0.303229716,0.034467926
0.49,3.561824,3.602073,0.301606758,0.033494152
0.495,3.55663,3.602398,0.30193135,0.033818743
0.5,3.573184,3.603696,0.302905125,0.034467926
0.505,3.564745,3.603696,0.301282166,0.035117109
0.51,3.56864,3.604346,0.303229716,0.035766292
0.515,3.566043,3.602073,0.301606758,0.036415475
0.52,3.556305,3.601749,0.302255941,0.036090883
0.525,3.565394,3.602398,0.302905125,0.036090883
0.53,3.564096,3.602073,0.301606758,0.0354417
0.535,3.55663,3.6011,0.303229716,0.034792517
0.54,3.56085,3.603047,0.30193135,0.034467926
0.545,3.561499,3.602073,0.30193135,0.034467926
0.55,3.566693,3.603047,0.302255941,0.034467926
0.555,3.568965,3.602073,0.301606758,0.034467926
0.56,3.561499,3.603372,0.303554308,0.034792517
0.565,3.565719,3.603047,0.301606758,0.035117109
0.57,3.56442,3.603047,0.30193135,0.0354417
0.575,3.567017,3.602398,0.302580533,0.0354417
0.58,3.563771,3.603047,0.301282166,0.0354417
0.585,3.56085,3.602723,0.302905125,0.0354417
0.59,3.563447,3.602398,0.301606758,0.0354417
0.595,3.571237,3.601424,0.30193135,0.035117109
0.6,3.561824,3.602073,0.30193135,0.035117109
0.605,3.56507,3.602073,0.300957575,0.034792517
0.61,3.572535,3.602723,0.302905125,0.034143335
0.615,3.568315,3.603047,0.301606758,0.034792517
0.62,3.574483,3.602723,0.301282166,0.034792517
0.625,3.555981,3.604021,0.302255941,0.0354417
0.63,3.558578,3.603047,0.300957575,0.035766292
0.635,3.558578,3.602723,0.302905125,0.035766292
0.64,3.558578,3.603047,0.30193135,0.035766292
0.645,3.563771,3.602398,0.301606758,0.035766292
0.65,3.573184,3.602073,0.302255941,0.035117109
0.655,3.568965,3.603047,0.300957575,0.034792517
0.66,3.56085,3.601749,0.302905125,0.034792517
0.665,3.56507,3.602723,0.301606758,0.034467926
0.67,3.561499,3.602723,0.301606758,0.035117109
0.675,3.566368,3.602723,0.301606758,0.035117109
0.68,3.555007,3.603696,0.300957575,0.0354417
0.685,3.558902,3.603047,0.302580533,0.0354417
0.69,3.557928,3.601749,0.301606758,0.035766292
0.695,3.568965,3.603047,0.301282166,0.035766292
0.7,3.565719,3.601749,0.301606758,0.034792517
0.705,3.566693,3.602398,0.300308391,0.034792517
0.71,3.558902,3.602723,0.302580533,0.035117109
0.715,3.565394,3.602723,0.301282166,0.034792517
0.72,3.569289,3.602073,0.301282166,0.034792517
0.725,3.569289,3.603372,0.30193135,0.034792517
0.73,3.561499,3.604021,0.300632983,0.035117109
0.735,3.563771,3.603696,0.302580533,0.035117109
0.74,3.569289,3.603696,0.301606758,0.035766292
0.745,3.573184,3.602073,0.301606758,0.0354417
0.75,3.569289,3.602398,0.302255941,0.0354417
0.755,3.56442,3.6011,0.300957575,0.035117109
0.76,3.553709,3.602398,0.302255941,0.035117109
0.765,3.557928,3.602723,0.300957575,0.034792517
0.77,3.565719,3.603047,0.301282166,0.034792517
0.775,3.569614,3.603372,0.301606758,0.034792517
0.78,3.569938,3.603372,0.300308391,0.034792517
0.785,3.559227,3.603372,0.30193135,0.0354417
0.79,3.560201,3.603372,0.300957575,0.0354417
0.795,3.555656,3.603047,0.301282166,0.035117109
0.8,3.557928,3.603047,0.301606758,0.035117109
0.805,3.562797,3.602723,0.300308391,0.035766292
0.81,3.555332,3.603047,0.302255941,0.035117109
0.815,3.566693,3.601749,0.300957575,0.035117109
0.82,3.557928,3.602723,0.300957575,0.035117109
0.825,3.559876,3.602723,0.30193135,0.034792517
0.83,3.556305,3.602723,0.2999838,0.035117109
0.835,3.566693,3.603047,0.30193135,0.035117109
0.84,3.566043,3.603047,0.300957575,0.035117109
0.845,3.559227,3.603047,0.300957575,0.035117109
0.85,3.558253,3.602723,0.301606758,0.0354417
0.855,3.56442,3.602398,0.300308391,0.035117109
0.86,3.561174,3.602398,0.30193135,0.035117109
0.865,3.56507,3.602723,0.300632983,0.035117109
0.87,3.569938,3.602723,0.300308391,0.035117109
0.875,3.561499,3.602398,0.301282166,0.035117109
0.88,3.555656,3.603047,0.300308391,0.035766292
0.885,3.567991,3.604021,0.301606758,0.035117109
0.89,3.570588,3.603696,0.300308391,0.035117109
0.895,3.56442,3.602073,0.300632983,0.035117109
0.9,3.567017,3.603047,0.301282166,0.035117109
0.905,3.561499,3.604021,0.2999838,0.035117109
0.91,3.568965,3.603047,0.301606758,0.0354417
0.915,3.556955,3.603047,0.300308391,0.0354417
0.92,3.56507,3.604021,0.300632983,0.034792517
0.925,3.54884,3.603047,0.301282166,0.0354417
0.93,3.561824,3.603372,0.299659208,0.035117109
0.935,3.561174,3.602398,0.301282166,0.035117109
0.94,3.565394,3.603047,0.2999838,0.034792517
0.945,3.563447,3.603696,0.300308391,0.034792517
0.95,3.55241,3.603047,0.300632983,0.0354417
0.955,3.571886,3.603047,0.299334617,0.035117109
0.96,3.56085,3.603047,0.300957575,0.0354417
0.965,3.559551,3.603047,0.2999838,0.0354417
0.97,3.560201,3.602398,0.2999838,0.0354417
0.975,3.560525,3.603047,0.300632983,0.035766292
0.98,3.558253,3.602398,0.299010025,0.034467926
0.985,3.557928,3.602723,0.300957575,0.034467926
0.99,3.579027,3.604021,0.2999838,0.034143335
0.995,3.561824,3.603372,0.2999838,0.034792517
1,3.554682,3.604021,0.300632983,0.034792517
