Time (s),Accelerometer (V),LED Sensor (V),Voice Coil Voltage (V),Voice Coil Current (V)
0.005,3.565394,3.296629,0.336338066,0.0354417
0.01,3.558902,3.296629,0.337311841,0.0354417
0.015,3.558253,3.297278,0.336338066,0.035117109
0.02,3.555656,3.296629,0.336338066,0.034792517
0.025,3.563447,3.29598,0.336987249,0.034467926
0.03,3.563447,3.296954,0.335688883,0.034467926
0.035,3.579027,3.296304,0.336987249,0.035117109
0.04,3.562473,3.297278,0.336013474,0.035117109
0.045,3.563771,3.296954,0.336013474,0.0354417
0.05,3.567017,3.297603,0.336987249,0.035766292
0.055,3.561174,3.296304,0.335039699,0.0354417
0.06,3.559551,3.296304,0.336662658,0.0354417
0.065,3.567342,3.297603,0.335688883,0.035117109
0.07,3.568315,3.296304,0.335039699,0.0354417
0.075,3.558902,3.296304,0.336338066,0.035766292
0.08,3.55663,3.296304,0.334390516,0.035766292
0.085,3.573184,3.296304,0.336013474,0.034792517
0.09,3.564745,3.296629,0.335039699,0.034143335
0.095,3.565719,3.297927,0.335039699,0.034467926
0.1,3.569614,3.297603,0.336013474,0.035117109
0.105,3.559227,3.297278,0.334065924,0.036090883
0.11,3.564745,3.297927,0.335364291,0.035766292
0.115,3.561499,3.297278,0.334065924,0.035117109
0.12,3.568315,3.296629,0.334390516,0.034792517
0.125,3.555332,3.297603,0.335039699,0.034792517
0.13,3.560201,3.297278,0.333092149,0.035117109
0.135,3.556955,3.297603,0.335039699,0.0354417
0.14,3.555007,3.297278,0.334065924,0.035117109
0.145,3.568965,3.29598,0.333416741,0.035117109
0.15,3.562148,3.296629,0.334715108,0.034792517
0.155,3.564745,3.296954,0.332767558,0.034792517
0.16,3.566693,3.297603,0.334390516,0.034792517
0.165,3.570912,3.297603,0.333092149,0.035117109
0.17,3.562148,3.297603,0.333092149,0.0354417
0.175,3.56864,3.296629,0.333416741,0.0354417
0.18,3.567991,3.297278,0.332118374,0.034792517
0.185,3.567017,3.296954,0.334065924,0.0354417
0.19,3.568965,3.296629,0.332767558,0.035117109
0.195,3.56864,3.296629,0.332767558,0.0354417
0.2,3.569289,3.296629,0.333741333,0.035117109
