Time (s),Accelerometer (V),LED Sensor (V),Voice Coil Voltage (V),Voice Coil Current (V)
0.005,3.563771,2.83895,0.376587436,0.036415475
0.01,3.559551,2.839924,0.378534987,0.037064657
0.015,3.566693,2.83895,0.376912028,0.036740066
0.02,3.556955,2.839599,0.378534987,0.036740066
0.025,3.548191,2.83895,0.378859578,0.036415475
0.03,3.555007,2.839599,0.377885803,0.036415475
0.035,3.56085,2.838626,0.37918417,0.036415475
0.04,3.559876,2.840249,0.377885803,0.036415475
0.045,3.554033,2.839275,0.37918417,0.036740066
0.05,3.562148,2.838626,0.379833353,0.036415475
0.055,3.559227,2.83895,0.378534987,0.036740066
0.06,3.570263,2.840249,0.380482537,0.037064657
0.065,3.56507,2.839275,0.379833353,0.036415475
0.07,3.563447,2.839924,0.380482537,0.036415475
0.075,3.563771,2.839275,0.38113172,0.036415475
0.08,3.561824,2.839275,0.380482537,0.036415475
0.085,3.557279,2.839924,0.382430087,0.036415475
0.09,3.563122,2.839275,0.38113172,0.036415475
0.095,3.550138,2.839924,0.382430087,0.036415475
0.1,3.553384,2.839599,0.383403862,0.036740066
0.105,3.564745,2.839924,0.382105495,0.036415475
0.11,3.561174,2.839275,0.384377637,0.037064657
0.115,3.570912,2.839275,0.383403862,0.036740066
0.12,3.569614,2.839599,0.384053046,0.036415475
0.125,3.567342,2.839275,0.384702229,0.036415475
0.13,3.566368,2.83895,0.383728454,0.036740066
0.135,3.560201,2.83895,0.385676004,0.036415475
0.14,3.561824,2.839275,0.385351413,0.036740066
0.145,3.562473,2.839924,0.385676004,0.036740066
0.15,3.56507,2.83895,0.38664978,0.036740066
0.155,3.558578,2.839275,0.385676004,0.036415475
0.16,3.563771,2.83895,0.388272738,0.036415475
0.165,3.558902,2.839275,0.387948146,0.036415475
0.17,3.561824,2.839924,0.388272738,0.036090883
0.175,3.55663,2.840898,0.389246513,0.036740066
0.18,3.556955,2.839599,0.388272738,0.036415475
0.185,3.554358,2.840573,0.390869472,0.036740066
0.19,3.555332,2.839275,0.389895697,0.036415475
0.195,3.571237,2.840573,0.390869472,0.036415475
0.2,3.566368,2.839599,0.392167839,0.036740066
0.205,3.561499,2.839924,0.39054488,0.036740066
0.21,3.569614,2.839924,0.393141614,0.036740066
0.215,3.562473,2.838626,0.392492431,0.036740066
0.22,3.574158,2.839599,0.392817022,0.036415475
0.225,3.558578,2.839599,0.394439981,0.036415475
0.23,3.566043,2.839275,0.393466206,0.036415475
0.235,3.562148,2.838626,0.395413756,0.036415475
0.24,3.559551,2.839275,0.394764573,0.036415475
0.245,3.567342,2.839599,0.395089164,0.036415475
0.25,3.562148,2.838626,0.396712123,0.036415475
0.255,3.570912,2.839275,0.395738348,0.036415475
0.26,3.560201,2.839924,0.39801049,0.036415475
0.265,3.561499,2.839275,0.397036715,0.036415475
0.27,3.554033,2.839924,0.397685898,0.036415475
0.275,3.566368,2.839275,0.398659673,0.036740066
0.28,3.560201,2.838301,0.397685898,0.036415475
0.285,3.570263,2.839924,0.39995804,0.036740066
0.29,3.56442,2.839924,0.398984265,0.036740066
0.295,3.567666,2.83895,0.399633449,0.036415475
0.3,3.568965,2.839275,0.400607224,0.036090883
0.305,3.561824,2.839275,0.399633449,0.036090883
0.31,3.567991,2.839924,0.401905591,0.036415475
0.315,3.555007,2.840249,0.400931816,0.036090883
0.32,3.558253,2.839924,0.401256407,0.037064657
0.325,3.557928,2.839599,0.402554774,0.036740066
0.33,3.579027,2.840573,0.401256407,0.036415475
0.335,3.561499,2.839599,0.403203958,0.036415475
0.34,3.55241,2.840573,0.402230183,0.036415475
0.345,3.563122,2.839924,0.402554774,0.036740066
0.35,3.557604,2.83895,0.403853141,0.037064657
0.355,3.564096,2.840573,0.402230183,0.036415475
0.36,3.568965,2.839275,0.404826916,0.036415475
0.365,3.566043,2.839275,0.40352855,0.036740066
0.37,3.561174,2.839275,0.404177733,0.036415475
0.375,3.555981,2.83895,0.4054761,0.036415475
0.38,3.577404,2.83895,0.403853141,0.036740066
0.385,3.575781,2.839275,0.406125283,0.036415475
0.39,3.563771,2.840249,0.404502325,0.036415475
0.395,3.565394,2.83895,0.405151508,0.036415475
0.4,3.56507,2.839599,0.405800692,0.036740066
0.405,3.56085,2.839599,0.404826916,0.036090883
0.41,3.554033,2.839924,0.406449875,0.036740066
0.415,3.571237,2.838626,0.405151508,0.036740066
0.42,3.566043,2.839599,0.405800692,0.035766292
0.425,3.555007,2.839599,0.406774467,0.036415475
0.43,3.557928,2.839275,0.4054761,0.036740066
0.435,3.557604,2.839275,0.406774467,0.036740066
0.44,3.564096,2.83895,0.405800692,0.036740066
0.445,3.574483,2.839924,0.406125283,0.036740066
0.45,3.572535,2.839599,0.407748242,0.036740066
0.455,3.558578,2.839275,0.405800692,0.036415475
0.46,3.565394,2.839599,0.407748242,0.036415475
0.465,3.56442,2.83895,0.406774467,0.036740066
0.47,3.557604,2.839275,0.40742365,0.036740066
0.475,3.561824,2.83895,0.408072834,0.036415475
0.48,3.563447,2.839275,0.406449875,0.036090883
0.485,3.559227,2.839924,0.408397426,0.036415475
0.49,3.561824,2.839599,0.40742365,0.036740066
0.495,3.570263,2.839275,0.407099059,0.036415475
0.5,3.559551,2.840249,0.408722017,0.036415475
0.505,3.563447,2.839599,0.407099059,0.036415475
0.51,3.575457,2.840249,0.409046609,0.036740066
0.515,3.565719,2.839599,0.40742365,0.037064657
0.52,3.564096,2.840573,0.407748242,0.036740066
0.525,3.563447,2.839599,0.408722017,0.036415475
0.53,3.555332,2.839275,0.407099059,0.036415475
0.535,3.574807,2.840249,0.409046609,0.036740066
0.54,3.562473,2.838626,0.40742365,0.036415475
0.545,3.566693,2.839924,0.407748242,0.036740066
0.55,3.562473,2.839275,0.408722017,0.036740066
0.555,3.56507,2.839599,0.407099059,0.036415475
0.56,3.566368,2.840249,0.409046609,0.036415475
0.565,3.566043,2.839924,0.407748242,0.036740066
0.57,3.555981,2.839599,0.408072834,0.036740066
0.575,3.559551,2.839275,0.409046609,0.036090883
0.58,3.560525,2.839599,0.407748242,0.036415475
0.585,3.557279,2.839924,0.409695793,0.036415475
0.59,3.558253,2.83895,0.40742365,0.037064657
0.595,3.565719,2.83895,0.408397426,0.036740066
0.6,3.558902,2.839599,0.409046609,0.036740066
0.605,3.57286,2.839924,0.40742365,0.036740066
0.61,3.565394,2.839599,0.409371201,0.036740066
0.615,3.561174,2.839275,0.408072834,0.036415475
0.62,3.55241,2.839924,0.408072834,0.036740066
0.625,3.552086,2.840249,0.409695793,0.036740066
0.63,3.566368,2.838626,0.407748242,0.036415475
0.635,3.56442,2.839924,0.409695793,0.036740066
0.64,3.566693,2.839599,0.408397426,0.036740066
0.645,3.567991,2.839275,0.408397426,0.037064657
0.65,3.559227,2.839275,0.409371201,0.036740066
0.655,3.569938,2.840249,0.407748242,0.036090883
0.66,3.569938,2.840249,0.409371201,0.036415475
0.665,3.566693,2.840249,0.408072834,0.036415475
0.67,3.567017,2.839924,0.408397426,0.036415475
0.675,3.570912,2.839924,0.409695793,0.036415475
0.68,3.565394,2.839924,0.40742365,0.036740066
0.685,3.570263,2.839275,0.410020384,0.036740066
0.69,3.554033,2.839599,0.407748242,0.036415475
0.695,3.55663,2.839599,0.408722017,0.036415475
0.7,3.566693,2.839275,0.409371201,0.036740066
0.705,3.564096,2.839275,0.407748242,0.036740066
0.71,3.571561,2.839924,0.409371201,0.036415475
0.715,3.559227,2.840249,0.408072834,0.036415475
0.72,3.561174,2.839599,0.408397426,0.036740066
0.725,3.565719,2.838626,0.409371201,0.036415475
0.73,3.55663,2.839275,0.40742365,0.036415475
0.735,3.565394,2.83895,0.409046609,0.036740066
0.74,3.566368,2.840249,0.408397426,0.036415475
0.745,3.573509,2.840573,0.408397426,0.036740066
0.75,3.559876,2.839599,0.409371201,0.036415475
0.755,3.566043,2.839599,0.40742365,0.036415475
0.76,3.570263,2.839924,0.409371201,0.036740066
0.765,3.573184,2.839599,0.407748242,0.036415475
0.77,3.572535,2.839924,0.408072834,0.036740066
0.775,3.563122,2.839275,0.409046609,0.036740066
0.78,3.557928,2.839275,0.407099059,0.036415475
0.785,3.562473,2.840249,0.409046609,0.036415475
0.79,3.568315,2.839924,0.408397426,0.036415475
0.795,3.559876,2.839599,0.40742365,0.036090883
0.8,3.565719,2.840573,0.409046609,0.036415475
0.805,3.55663,2.839275,0.406774467,0.036415475
0.81,3.574483,2.839599,0.408722017,0.036415475
0.815,3.567991,2.839599,0.407748242,0.036415475
0.82,3.560201,2.839924,0.40742365,0.036415475
0.825,3.56507,2.839924,0.408397426,0.036415475
0.83,3.570263,2.83895,0.406774467,0.036740066
0.835,3.559876,2.839924,0.408397426,0.036415475
0.84,3.571237,2.839275,0.407099059,0.036740066
0.845,3.568315,2.840249,0.40742365,0.036740066
0.85,3.564745,2.83895,0.408722017,0.036740066
0.855,3.565719,2.839599,0.406449875,0.036090883
0.86,3.568965,2.839599,0.408397426,0.036740066
0.865,3.567991,2.839275,0.407099059,0.036740066
0.87,3.563122,2.839275,0.407099059,0.036415475
0.875,3.557928,2.839275,0.407748242,0.036740066
0.88,3.567991,2.839599,0.406125283,0.036415475
0.885,3.571237,2.839599,0.407748242,0.036740066
0.89,3.568315,2.839599,0.407099059,0.036090883
0.895,3.561174,2.840573,0.406774467,0.037064657
0.9,3.571886,2.839275,0.40742365,0.036090883
0.905,3.570912,2.839599,0.406125283,0.037064657
0.91,3.568315,2.83895,0.408072834,0.036415475
0.915,3.566043,2.839275,0.406774467,0.036090883
0.92,3.560201,2.840249,0.406449875,0.036415475
0.925,3.559227,2.839599,0.407099059,0.036740066
0.93,3.566368,2.839924,0.405800692,0.037064657
0.935,3.563122,2.83895,0.407099059,0.036090883
0.94,3.56864,2.839275,0.406449875,0.036740066
0.945,3.567666,2.840249,0.406125283,0.036740066
0.95,3.559227,2.839275,0.40742365,0.036415475
0.955,3.57643,2.839275,0.405151508,0.036740066
0.96,3.563771,2.83895,0.406774467,0.036740066
0.965,3.565394,2.839275,0.4054761,0.036415475
0.97,3.556955,2.839599,0.4054761,0.036740066
0.975,3.573184,2.839275,0.406774467,0.036740066
0.98,3.565719,2.840249,0.405151508,0.036090883
0.985,3.564096,2.839599,0.406449875,0.036740066
0.99,3.562148,2.83895,0.4054761,0.036415475
0.995,3.570588,2.839924,0.405800692,0.036740066
1,3.567991,2.840573,0.406774467,0.036415475
