Time (s),Accelerometer (V),LED Sensor (V),Voice Coil Voltage (V),Voice Coil Current (V)
0.005,3.861426,2.959699,0.353866017,-3.17768
0.01,2.841547,3.360899,0.323029807,-4.193646
0.015,3.994835,3.671862,0.311019916,-3.567837
0.02,3.333958,3.664396,0.319459299,-1.54629
0.025,3.651412,3.429389,0.34088235,1.099454
0.03,3.429064,3.064544,0.373666111,3.374532
0.035,2.737028,2.693532,0.402879366,4.400256
0.04,1.926517,2.420548,0.423004054,3.786769
0.045,1.936254,2.359849,0.419433545,1.759676
0.05,2.389712,2.548763,0.389895697,-0.905223229
0.055,3.683872,2.954181,0.353866017,-3.17703
0.06,4.148693,3.392709,0.322705216,-4.194945
0.065,4.033137,3.67316,0.311344508,-3.569135
0.07,3.764371,3.673809,0.319783891,-1.54629
0.075,2.240074,3.394008,0.34088235,1.099129
0.08,3.784821,3.072334,0.373341519,3.374532
0.085,2.581547,2.689637,0.403203958,4.40123
0.09,2.188464,2.427365,0.422679463,3.785795
0.095,1.472411,2.347839,0.419108953,1.76
0.1,2.842845,2.560773,0.389571105,-0.905223229
0.105,4.082151,2.964568,0.353866017,-3.176706
0.11,2.874331,3.362197,0.322705216,-4.193646
0.115,4.115909,3.676406,0.311344508,-3.56946
0.12,3.928617,3.677704,0.319459299,-1.546939
0.125,3.228789,3.419002,0.341206941,1.098156
0.13,2.924319,3.051884,0.373990703,3.373558
0.135,2.527664,2.688663,0.402879366,4.401554
0.14,2.539674,2.435155,0.423004054,3.787418
0.145,1.738577,2.355954,0.419108953,1.76
0.15,2.519225,2.552009,0.389895697,-0.904898638
0.155,3.075904,2.941522,0.354190609,-3.176706
0.16,2.620823,3.354082,0.322380624,-4.194295
0.165,2.375754,3.633235,0.311019916,-3.568486
0.17,3.512485,3.667642,0.319783891,-1.547588
0.175,3.467691,3.423221,0.34088235,1.098805
0.18,3.364145,3.063245,0.373341519,3.373883
0.185,2.48709,2.686391,0.403203958,4.400256
0.19,1.573684,2.411784,0.423004054,3.787093
0.195,1.952809,2.360174,0.419433545,1.760974
0.2,2.430286,2.550061,0.389571105,-0.904574048
0.205,3.849416,2.959375,0.353866017,-3.175732
0.21,4.172714,3.393034,0.323029807,-4.19462
0.215,4.650521,3.68939,0.311344508,-3.569784
0.22,3.653684,3.671212,0.319459299,-1.547913
0.225,2.862321,3.410887,0.34088235,1.097831
0.23,3.751388,3.072658,0.373990703,3.373883
0.235,2.351085,2.68282,0.402879366,4.401554
0.24,1.933658,2.419899,0.422679463,3.787418
0.245,1.650937,2.354006,0.419433545,1.760649
0.25,2.242671,2.545841,0.389571105,-0.903924866
0.255,2.755529,2.931784,0.353541425,-3.176057
0.26,3.714059,3.382322,0.322705216,-4.193646
0.265,4.572942,3.687118,0.311344508,-3.569784
0.27,2.84739,3.650114,0.319783891,-1.548237
0.275,4.223351,3.442697,0.34088235,1.097506
0.28,3.153483,3.059025,0.373341519,3.372584
0.285,2.696778,2.693532,0.402879366,4.40123
0.29,1.730787,2.415679,0.423004054,3.788391
0.295,1.36984,2.345892,0.419108953,1.761623
0.3,2.498775,2.552009,0.389895697,-0.903600275
0.305,3.67673,2.955155,0.354190609,-3.176381
0.31,4.576188,3.401798,0.322705216,-4.193971
0.315,4.518085,3.684521,0.311669099,-3.56946
0.32,3.725095,3.671212,0.319783891,-1.548237
0.325,3.555007,3.424844,0.34088235,1.096533
0.33,3.877006,3.075904,0.373341519,3.373558
0.335,1.954432,2.673082,0.402879366,4.400905
0.34,2.444893,2.433532,0.423004054,3.787418
0.345,1.810637,2.356603,0.419433545,1.761948
0.35,2.55136,2.552658,0.389895697,-0.902951094
0.355,2.695804,2.930486,0.353866017,-3.175408
0.36,3.465094,3.376155,0.322705216,-4.193646
0.365,3.501773,3.66115,0.311344508,-3.570434
0.37,2.789936,3.651412,0.319459299,-1.548562
0.375,2.036229,3.389139,0.34088235,1.096857
0.38,2.922046,3.053183,0.373341519,3.372584
0.385,2.456903,2.686066,0.402879366,4.401879
0.39,1.956704,2.422171,0.422679463,3.788391
0.395,1.613933,2.35076,0.419108953,1.761299
0.4,2.283894,2.545841,0.390220289,-0.902951094
0.405,3.402123,2.948663,0.353541425,-3.175408
0.41,4.394738,3.400175,0.322705216,-4.193971
0.415,4.403177,3.682573,0.311019916,-3.56946
0.42,4.344101,3.686468,0.319134707,-1.549211
0.425,3.343695,3.419651,0.341206941,1.096857
0.43,3.243395,3.05935,0.373341519,3.37226
0.435,2.544868,2.688338,0.403203958,4.400256
