Time (s),Accelerometer (V),LED Sensor (V),Voice Coil Voltage (V),Voice Coil Current (V)
0.005,3.553059,2.863295,0.337636433,0.047776175
0.01,3.523197,2.859075,0.337636433,0.039661389
0.015,3.537154,2.856803,0.338610208,0.031222012
0.02,3.558253,2.858426,0.336338066,0.028300689
0.025,3.587142,2.861996,0.337311841,0.032520377
0.03,3.581949,2.862321,0.337311841,0.038687615
0.035,3.562797,2.861347,0.336987249,0.03998598
0.04,3.547217,2.858101,0.338285616,0.036090883
0.045,3.555332,2.858426,0.337311841,0.031222012
0.05,3.571237,2.861023,0.337961024,0.029599055
0.055,3.570588,2.863295,0.337311841,0.032520377
0.06,3.564745,2.864918,0.337311841,0.035117109
0.065,3.555656,2.863944,0.339583983,0.035117109
0.07,3.548515,2.864918,0.337636433,0.031871195
0.075,3.573834,2.866216,0.338934799,0.029923646
0.08,3.586493,2.86719,0.338285616,0.032520377
0.085,3.691986,2.899974,0.332118374,-0.148277003
0.09,3.595906,2.984369,0.327249499,-0.068752133
0.095,3.869865,3.02754,0.323354399,0.046477809
0.1,3.487491,3.022346,0.326600316,0.072445124
0.105,3.364794,3.006441,0.326924907,0.026353141
0.11,3.43653,3.012608,0.324977357,-0.013896193
0.115,3.648491,3.038251,0.323678991,-0.014545376
0.12,3.694908,3.060324,0.321082257,0.023107226
0.125,3.630313,3.06357,0.322705216,0.055566369
0.13,3.545918,3.053507,0.323029807,0.058812283
0.135,3.53683,3.043445,0.324003582,0.051022089
0.14,3.571561,3.034681,0.325626541,0.04907454
0.145,3.622848,3.027215,0.324328174,0.058487692
0.15,3.617005,3.013582,0.327249499,0.075366447
0.155,3.585194,2.994431,0.328547866,0.083805825
0.16,3.564745,2.969437,0.330495416,0.088999289
0.165,3.554358,2.942821,0.334065924,0.089648472
0.17,3.570588,2.916204,0.334715108,0.082507459
0.175,3.526767,2.890885,0.337961024,0.080235319
0.18,3.442048,2.87076,0.338610208,0.054592595
0.185,3.48879,2.863619,0.338285616,0.023431818
0.19,3.571237,2.869462,0.338610208,0.01466785
0.195,3.648491,2.877252,0.336013474,0.027976098
0.2,3.639727,2.8792,0.337311841,0.046153217
0.205,3.553059,2.874331,0.337311841,0.053294229
0.21,3.524495,2.866216,0.336987249,0.045504035
0.215,3.520275,2.861996,0.338285616,0.034143335
0.22,3.552086,2.861996,0.336338066,0.027651506
0.225,3.574158,2.865242,0.336987249,0.02862528
0.23,3.590388,2.866541,0.336338066,0.0354417
0.235,3.585519,2.867515,0.336338066,0.041933529
0.24,3.553709,2.863944,0.337961024,0.04225812
0.245,3.528066,2.861347,0.336338066,0.036415475
0.25,3.545269,2.861672,0.337636433,0.028949872
0.255,3.575457,2.864269,0.337311841,0.027976098
0.26,3.589414,2.868164,0.336662658,0.032844969
0.265,3.568315,2.868164,0.337636433,0.038687615
0.27,3.546568,2.865892,0.336662658,0.039012206
0.275,3.532935,2.864269,0.338285616,0.034792517
0.28,3.553059,2.864593,0.337961024,0.03089742
0.285,3.570912,2.86719,0.337636433,0.030572829
0.29,3.579027,2.870111,0.338934799,0.033818743
0.295,3.567991,2.870111,0.337636433,0.036415475
0.3,1.898277,2.871734,0.337636433,-0.07784069
0.305,3.691986,2.933407,0.330495416,-0.08011283
0.31,4.096433,2.98307,0.328223274,0.0354417
0.315,3.667966,2.982096,0.331144599,0.09808785
0.32,3.347915,2.950935,0.331144599,0.074068081
0.325,3.369988,2.936653,0.333092149,0.004605516
0.33,3.549164,2.953532,0.330170824,-0.020712612
0.335,3.699452,2.977877,0.328223274,0.014992441
0.34,3.68517,2.985992,0.329846232,0.057513918
0.345,3.571237,2.973008,0.329521641,0.07374349
0.35,3.505669,2.955804,0.332118374,0.061733606
0.355,3.534882,2.944119,0.331793783,0.041933529
0.36,3.617005,2.93925,0.332118374,0.043881077
0.365,3.659851,2.934056,0.334715108,0.062707381
0.37,3.641999,2.919774,0.334390516,0.082182868
0.375,3.523521,2.894456,0.337636433,0.094841935
0.38,3.408614,2.86719,0.339908574,0.07147135
0.385,3.4005,2.852259,0.339908574,0.026677732
0.39,3.548515,2.857128,0.339908574,0.002657968
0.395,3.659527,2.873357,0.336662658,0.015966215
0.4,3.655956,2.880174,0.337961024,0.047126992
0.405,3.56507,2.873357,0.337961024,0.062707381
0.41,3.508914,2.860373,0.337636433,0.050372906
0.415,3.489439,2.854206,0.338934799,0.029274463
0.42,3.564096,2.857452,0.336987249,0.020185904
0.425,3.602723,2.864918,0.337311841,0.028949872
0.43,3.593634,2.866865,0.336662658,0.042582712
0.435,3.552735,2.863619,0.337311841,0.044854852
0.44,3.520275,2.8594,0.338285616,0.035766292
0.445,3.554682,2.8594,0.336662658,0.026028549
0.45,3.591037,2.863619,0.337311841,0.027651506
0.455,3.591686,2.86719,0.337311841,0.036740066
0.46,3.568315,2.865567,0.336987249,0.042582712
0.465,3.534233,2.863295,0.338934799,0.039012206
0.47,3.537479,2.861347,0.337311841,0.029599055
0.475,3.56507,2.863944,0.338610208,0.026028549
0.48,3.600775,2.867839,0.337961024,0.029599055
0.485,3.583571,2.87141,0.337961024,0.036740066
0.49,3.57286,2.869787,0.339583983,0.040635163
0.495,3.449838,2.866865,0.337636433,0.007526839
0.5,2.844468,2.907764,0.332767558,-0.093421074
0.505,3.872137,2.966191,0.329521641,0.001035011
0.51,3.700751,2.978851,0.329197049,0.08705174
0.515,3.437828,2.954181,0.333416741,0.087376331
0.52,3.36382,2.933407,0.332118374,0.024405592
0.525,3.501124,2.938925,0.332442966,-0.005456817
0.53,3.677055,2.957752,0.329846232,0.01466785
0.535,3.703672,2.965542,0.329846232,0.051995863
0.54,3.595906,2.955155,0.332442966,0.074717264
0.545,3.513459,2.936653,0.332118374,0.06919921
0.55,3.517029,2.920423,0.335039699,0.054917186
0.555,3.563122,2.910361,0.335039699,0.051022089
0.56,3.596555,2.901922,0.335364291,0.054592595
0.565,3.623497,2.891535,0.337961024,0.065953295
0.57,3.517679,2.875629,0.337311841,0.064330338
0.575,3.470288,2.86297,0.339259391,0.042907303
0.58,3.520925,2.861347,0.339259391,0.024405592
0.585,3.6011,2.865242,0.337961024,0.021159678
0.59,3.630638,2.872059,0.338610208,0.033818743
0.595,3.590388,2.87076,0.336987249,0.047776175
0.6,3.542997,2.865892,0.338285616,0.048100766
0.605,3.521574,2.860373,0.337961024,0.035766292
0.61,3.546892,2.85875,0.336987249,0.024405592
0.615,3.603372,2.865242,0.337961024,0.026028549
0.62,3.593634,2.867839,0.336338066,0.038038432
0.625,3.567017,2.865892,0.337311841,0.047126992
0.63,3.518003,2.861023,0.337961024,0.043231894
0.635,3.512485,2.858101,0.337636433,0.03089742
0.64,3.561824,2.860698,0.338285616,0.020835087
0.645,3.598178,2.86719,0.336338066,0.025054775
0.65,3.619277,2.871734,0.337636433,0.037389249
0.655,3.57286,2.869787,0.337636433,0.045504035
0.66,3.520925,2.865242,0.337961024,0.040310572
0.665,3.537479,2.862646,0.339259391,0.030572829
0.67,3.563122,2.865892,0.337636433,0.025703958
0.675,3.579352,2.869462,0.338610208,0.03089742
0.68,3.588765,2.872059,0.337636433,0.038363023
0.685,4.017881,2.887964,0.335039699,-0.074594777
0.69,4.055534,2.940873,0.331793783,-0.031748719
0.695,3.80527,2.968139,0.328872457,0.051671272
0.7,3.552735,2.959699,0.332118374,0.076664813
0.705,3.395631,2.940873,0.333092149,0.044205669
0.71,3.464445,2.937302,0.331144599,0.009798979
0.715,3.648166,2.951909,0.331469191,0.006228473
0.72,3.678678,2.963595,0.329521641,0.035117109
0.725,3.60889,2.960998,0.331469191,0.060435241
0.73,3.545269,2.949312,0.332118374,0.063031972
0.735,3.540725,2.936978,0.332442966,0.053294229
0.74,3.558578,2.927889,0.334390516,0.045179443
0.745,3.599801,2.921397,0.333092149,0.049723723
0.75,3.619602,2.912958,0.335039699,0.064654929
0.755,3.551761,2.898351,0.336662658,0.07601563
0.76,3.499501,2.878226,0.337961024,0.074717264
0.765,3.4203,2.859724,0.34088235,0.046477809
0.77,3.490737,2.855829,0.338610208,0.015641624
0.775,3.604021,2.865567,0.338610208,0.011421936
0.78,3.651087,2.875305,0.337311841,0.031871195
0.785,3.637454,2.876279,0.336987249,0.052645046
0.79,3.533908,2.867839,0.338934799,0.054592595
0.795,3.501773,2.8594,0.337311841,0.039661389
0.8,3.542672,2.857777,0.337961024,0.025703958
0.805,3.585519,2.861672,0.337311841,0.026677732
0.81,3.589414,2.865567,0.336338066,0.036415475
0.815,3.567991,2.863944,0.337311841,0.043556486
0.82,3.523846,2.860373,0.336662658,0.040310572
0.825,3.549489,2.858101,0.337636433,0.030248238
0.83,3.571886,2.861023,0.337311841,0.026028549
0.835,3.593959,2.865242,0.336338066,0.030248238
0.84,3.590388,2.868164,0.337311841,0.039012206
0.845,3.56085,2.864918,0.336662658,0.04225812
0.85,3.537154,2.86297,0.337961024,0.037389249
0.855,3.531961,2.861996,0.337961024,0.03089742
0.86,3.558578,2.863295,0.337311841,0.028300689
0.865,3.573834,2.866216,0.338934799,0.03089742
0.87,3.578703,2.869138,0.337636433,0.035117109
0.875,3.566368,2.867839,0.338934799,0.037389249
0.88,3.587791,2.86719,0.338610208,-0.062909489
0.885,3.84195,2.915555,0.330820008,-0.111273596
0.89,3.988667,2.980149,0.328547866,-0.008053548
0.895,3.690688,2.996703,0.327574091,0.080559911
0.9,3.430687,2.974631,0.330495416,0.081209094
0.905,3.352784,2.958076,0.331144599,0.016615398
0.91,3.489439,2.966841,0.328547866,-0.016817515
0.915,3.666668,2.992484,0.328223274,0.002008785
0.92,3.691662,3.006116,0.325626541,0.040310572
0.925,3.603372,3.002871,0.327574091,0.064979521
0.93,3.517029,2.988264,0.328547866,0.061733606
0.935,3.506318,2.976254,0.329197049,0.045828626
0.94,3.566693,2.970086,0.330820008,0.041608937
0.945,3.631612,2.966516,0.329521641,0.04907454
0.95,3.629664,2.957427,0.331793783,0.067576252
0.955,3.577404,2.940224,0.333416741,0.083156642
0.96,3.538453,2.917178,0.335039699,0.084455008
0.965,3.475157,2.892833,0.338285616,0.080559911
0.97,3.460874,2.871734,0.337961024,0.057189326
0.975,3.469314,2.862646,0.339259391,0.025379366
0.98,3.56085,2.86719,0.338285616,0.015641624
0.985,3.621225,2.876603,0.336338066,0.02862528
0.99,3.622848,2.878226,0.337961024,0.045828626
0.995,3.575132,2.874006,0.336338066,0.049723723
1,3.540725,2.866541,0.337636433,0.041933529
