Valve Command (V),Position (V),Flow (V),Top Pressure (V),Bottom Pressure (V)
-0.25,0.012283887,0.747105483,1.073196,0.607117553
-0.25,0.3169589,0.846827528,1.132315,0.803116108
-0.25,0.7031228,0.848056019,1.133776,0.807190164
-0.25,1.101917,0.846902475,1.135604,0.808584345
-0.25,1.511956,0.847458381,1.13552,0.808983009
-0.25,1.933588,0.84686725,1.136641,0.808053358
-0.25,2.368195,0.843927792,1.136379,0.808471162
-0.25,2.814048,0.844763876,1.136753,0.808374089
-0.25,3.272877,0.84499304,1.136571,0.807913648
-0.25,3.742779,0.843169791,1.137012,0.808008722
-0.25,4.22756,0.842050399,1.138157,0.808148818
-0.25,4.724625,0.840535747,1.13839,0.808395628
-0.25,5.234666,0.844457453,1.136647,0.808093095
-0.25,5.764257,0.848120678,1.136012,0.808043835
-0.25,6.310112,0.847950407,1.135664,0.807270094
-0.25,6.872749,0.845040064,1.132866,0.806644498
0.25,7.451302,0.396444449,3.182898,1.889027
0.25,7.089879,0.341068267,3.283675,1.942356
0.25,6.738145,0.340440583,3.281808,1.94148
0.25,6.392812,0.34116032,3.284641,1.942806
0.25,6.054399,0.341211747,3.283671,1.942066
0.25,5.721177,0.34183184,3.280632,1.940031
0.25,5.393665,0.341444919,3.280128,1.939915
0.25,5.072726,0.341579789,3.281113,1.938365
0.25,4.757844,0.340452009,3.282987,1.9376
0.25,4.447978,0.340806701,3.283575,1.937065
0.25,4.145726,0.34006441,3.285272,1.936095
0.25,3.847106,0.340551246,3.287825,1.935994
0.25,3.554369,0.340727277,3.287921,1.934915
0.25,3.268206,0.340989227,3.288015,1.933574
0.25,2.986196,0.340863753,3.289566,1.933017
0.25,2.709203,0.341386711,3.292004,1.933318
0.25,2.434113,0.341197961,3.293377,1.934501
-0.3,2.170615,0.88847326,1.24573,0.884876846
-0.3,2.66595,0.972062334,1.10923,0.787187269
-0.3,3.185852,0.970947519,1.112344,0.78753668
-0.3,3.721326,0.966829823,1.108753,0.784334232
-0.3,4.274101,0.965691349,1.115586,0.788240668
-0.3,4.843139,0.962552472,1.108662,0.784908308
-0.3,5.426018,0.960855329,1.106857,0.784956601
-0.3,6.030697,0.963691876,1.113779,0.789634923
-0.3,6.655618,0.965301716,1.111799,0.789525719
0.3,7.303896,0.483473599,3.159488,1.882288
0.3,6.856485,0.426236559,3.25188,1.929385
0.3,6.419802,0.42719407,3.255482,1.930949
0.3,5.993153,0.427619846,3.262911,1.934726
0.3,5.573771,0.428298802,3.263837,1.934247
0.3,5.164942,0.427977713,3.261899,1.929592
0.3,4.76684,0.427872422,3.254602,1.923374
0.3,4.377389,0.427611513,3.24933,1.918668
0.3,3.992955,0.426507232,3.250979,1.9171
0.3,3.622709,0.425490525,3.250855,1.916389
0.3,3.261286,0.424433351,3.250998,1.915549
0.3,2.908513,0.423663742,3.256391,1.917544
0.3,2.562315,0.422968988,3.25961,1.918991
0.3,2.226498,0.42323787,3.264299,1.922504
-0.35,1.893795,1.026632,1.214278,0.861902402
-0.35,2.452106,1.123677,1.086322,0.769470019
-0.35,3.04502,1.128035,1.086499,0.766450518
-0.35,3.660771,1.126649,1.086756,0.76643799
-0.35,4.297804,1.12389,1.086407,0.766353075
-0.35,4.958711,1.125094,1.086214,0.76713394
-0.35,5.643668,1.125265,1.086246,0.768358709
-0.35,6.355441,1.125246,1.088108,0.769679914
-0.35,7.095416,1.124437,1.08783,0.772855293
0.35,7.863764,0.573075116,3.144323,1.874011
0.35,7.314103,0.511954023,3.209424,1.909195
0.35,6.776554,0.512267071,3.21108,1.910119
0.35,6.255959,0.513886359,3.215194,1.9124
0.35,5.747821,0.513449117,3.222692,1.914192
0.35,5.253179,0.513525375,3.228326,1.914896
0.35,4.772377,0.512135723,3.226535,1.912508
0.35,4.303167,0.511851889,3.219416,1.905726
0.35,3.848836,0.509949172,3.219541,1.903364
0.35,3.407827,0.510549861,3.219277,1.902488
0.35,2.978756,0.510604161,3.225023,1.904735
0.35,2.559201,0.511369605,3.230811,1.908067
0.35,2.152102,0.512208464,3.230522,1.907677
-0.4,1.753309,1.171939,1.197488,0.846545737
-0.4,2.380133,1.280385,1.077629,0.759202966
-0.4,3.048307,1.281338,1.077302,0.75796182
